tier,model,n_classes,val_macro_f1,test_macro_f1,test_weighted_f1
label_t1,linear,2,0.8160939964352818,0.8024839899873983,0.8783064301993017
label_t1,mlp,2,0.8532851320287399,0.8490493973202204,0.9129325122922507
label_t2,linear,4,0.908571710090721,0.9015162439320414,0.883896931907995
label_t2,mlp,4,0.9120295689380679,0.8996088986956919,0.8978181058455923
label_t3,linear,7,0.32924212418413995,0.38624026752515045,0.9673513539245562
label_t3,mlp,7,0.41366682058707016,0.4158089614343656,0.9581128009131048
label_t4,linear,10,0.8267558974685774,0.9100706727078327,0.9850177009653489
label_t4,mlp,10,0.8872591197668263,0.9362684307112641,0.9912418961286638
label_t5,linear,9,0.23257974009647006,0.5683977522589365,0.7250899059797937
label_t5,mlp,9,0.2660714360790409,0.5858860270074443,0.7581957807515766
