held_out,n_train,n_test,n_pos_test,pct_pos_test,val_macro_f1,test_auc,test_ap,test_f1,test_precision,test_recall,test_accuracy,threshold,elapsed_s
ECOSS_enhanced,219516,168,128,76.2,0.8435,1.0,1.0,0.9881,1.0,0.9766,0.9821,0.68,111.7
ECOSS_testtrain,191702,36044,107,0.3,0.8509,0.9819,0.7182,0.3647,0.2308,0.8692,0.991,0.65,60.2
Adriatic_Sea,222878,1180,942,79.8,0.8726,0.8823,0.9682,0.6676,0.9916,0.5032,0.6,0.6,115.0
WATKINS,218727,1877,475,25.3,0.8476,0.8693,0.6435,0.6744,0.5569,0.8547,0.7912,0.68,77.8
DOLPHINFREE,220540,3290,1150,35.0,0.8579,0.8593,0.7384,0.7099,0.593,0.8843,0.7474,0.55,102.9
OLTREMARE,207847,16860,2904,17.2,0.8526,0.8562,0.7567,0.7041,0.8362,0.6081,0.912,0.68,76.1
DRYAD,218499,6770,2916,43.1,0.8495,0.855,0.8488,0.7491,0.7266,0.773,0.777,0.72,72.5
DCLDE_2026,63694,174538,21696,12.4,0.6087,0.6998,0.318,0.3422,0.3285,0.3571,0.8293,0.95,11.2
ECOSS_annot,225249,752,466,62.0,0.8574,0.5307,0.7087,0.5014,0.6932,0.3927,0.516,0.72,52.1
ALNITAK_CAVANILLES,216635,5202,675,13.0,0.8652,0.5296,0.1669,0.1249,0.2842,0.08,0.8545,0.68,82.1
MONISH,218880,617,588,95.3,0.8476,0.5211,0.9627,0.5374,0.9648,0.3724,0.389,0.68,70.5
FREMANTLE,223297,332,332,100.0,0.8707,,1.0,0.8532,1.0,0.744,0.744,0.7,107.4
