level,held_out,n_test,n_val_species,n_classes_test,temperature,argmax_macro_f1,temp_macro_f1,vec_macro_f1,pr_thresh_macro_f1,delta_temp,delta_vec,delta_pr_thresh,argmax_sp_recall,temp_sp_recall,vec_sp_recall,pr_thresh_sp_recall,argmax_sp_prec,temp_sp_prec,vec_sp_prec,pr_thresh_sp_prec,argmax_sp_f1,temp_sp_f1,vec_sp_f1,pr_thresh_sp_f1,argmax_inter_conf,vec_inter_conf,pr_thresh_inter_conf,argmax_hallucin,vec_hallucin,pr_thresh_hallucin,sp_n_rows
L2-coarse,DOLPHINFREE,3290,8439,2,0.609,0.6239457582757291,0.6239457582757291,0.7203959315609841,0.8023341713632085,0.0,0.09645017328525507,0.17838841308747944,0.9921739130434782,0.9921739130434782,0.9730434782608696,0.9556521739130435,1.0,1.0,1.0,1.0,0.9960715844609341,0.9960715844609341,0.9863375936535919,0.9773232547799022,0.0,0.0,0.0,0.0,0.0,0.0,1150.0
L2-coarse,DRYAD,6770,7639,2,0.794,0.5870001173096864,0.5870001173096864,0.693138646461052,0.7127459373265109,0.0,0.10613852915136568,0.12574582001682455,0.9252400548696845,0.9252400548696845,0.9104938271604939,0.8700274348422496,1.0,1.0,1.0,1.0,0.9611685073031706,0.9611685073031706,0.9531502423263328,0.9304969741426737,0.06412894375857339,0.04458161865569273,0.05212620027434842,0.06412894375857339,0.04458161865569273,0.05212620027434842,2916.0
L2-coarse,Adriatic_Sea,1180,6934,2,0.595,0.7653966633940995,0.7653966633940995,0.7062035823503714,0.6554538449975169,0.0,-0.05919308104372811,-0.1099428183965826,0.7760084925690022,0.7760084925690022,0.6857749469214437,0.6146496815286624,1.0,1.0,1.0,1.0,0.8738792588164973,0.8738792588164973,0.8136020151133502,0.7613412228796844,0.0010615711252653928,0.0010615711252653928,0.0,0.0010615711252653928,0.0010615711252653928,0.0,942.0
L2-coarse,OLTREMARE,16860,6700,2,3.408,0.8033484378214797,0.8033484378214797,0.7284095396546798,0.8033484378214797,0.0,-0.07493889816679988,0.0,0.6101928374655647,0.6101928374655647,0.7985537190082644,0.6101928374655647,1.0,1.0,1.0,1.0,0.757912745936698,0.757912745936698,0.8879954049396899,0.757912745936698,0.0013774104683195593,0.0006887052341597796,0.0013774104683195593,0.0013774104683195593,0.0006887052341597796,0.0013774104683195593,2904.0
L2-coarse,DCLDE_2026,174538,5822,2,1.0,0.4562990584589452,0.4562990584589452,0.46359680363346045,0.4704208731660969,0.0,0.007297745174515258,0.01412181470715168,0.5433720501474927,0.5433720501474927,0.544155604719764,0.5342920353982301,1.0,1.0,1.0,1.0,0.7041361803792743,0.7041361803792743,0.7047937436570951,0.6964671953857245,0.023322271386430678,0.028807153392330382,0.023737094395280236,0.023322271386430678,0.028807153392330382,0.023737094395280236,21696.0
L2-coarse,WATKINS,1877,7821,2,0.64,0.4693396226415094,0.4693396226415094,0.44762684124386254,0.4150779896013865,0.0,-0.021712781397646874,-0.054261633040122936,0.44222222222222224,0.44222222222222224,0.4051851851851852,0.3548148148148148,0.5,0.5,0.5,0.5,0.4693396226415094,0.4693396226415094,0.44762684124386254,0.4150779896013865,0.041022908897176344,0.07458710708577518,0.006925945657964837,0.02290889717634523,0.0554075652637187,0.0010655301012253596,1877.0
L2-coarse,MONISH,617,7820,2,0.801,0.4561717352415027,0.4561717352415027,0.391742195367573,0.3678646934460888,0.0,-0.06442953987392969,-0.08830704179541388,0.4336734693877551,0.4336734693877551,0.3307823129251701,0.29591836734693877,0.4811320754716981,0.4811320754716981,0.4802469135802469,0.4860335195530726,0.4561717352415027,0.4561717352415027,0.391742195367573,0.3678646934460888,0.07455429497568881,0.07293354943273905,0.05186385737439222,0.04213938411669368,0.04376012965964344,0.03565640194489465,617.0
L2-coarse,ECOSS_annot,752,6859,2,0.649,0.27883650952858574,0.27883650952858574,0.22762951334379905,0.2132921174652241,0.0,-0.05120699618478669,-0.06554439206336163,0.2982832618025751,0.2982832618025751,0.1555793991416309,0.148068669527897,0.2617702448210923,0.2617702448210923,0.4239766081871345,0.3812154696132597,0.27883650952858574,0.27883650952858574,0.22762951334379905,0.2132921174652241,0.3377659574468085,0.0398936170212766,0.057180851063829786,0.0013297872340425532,0.0026595744680851063,0.0,752.0
L2-coarse,ECOSS_testtrain,36044,4197,3,1.131,0.05099737658377001,0.05099737658377001,0.0552614796897522,0.04786300876239172,0.0,0.0042641031059821935,-0.003134367821378291,0.49612254252050564,0.49612254252050564,0.49612254252050564,0.4961076549218753,0.5028818443804035,0.5028818443804035,0.5173889042230196,0.5098839033573894,0.005849485004860816,0.005849485004860816,0.03371908660573402,0.019470951208264933,0.6458531086853346,0.10628262933080208,0.185453251067869,0.0011271950640721405,0.002551020408163265,0.00011865211200759374,33712.0
L4-species,OLTREMARE,16860,3118,2,1.986,0.5653894740668708,0.5653894740668708,0.6534415438266754,0.7776369699466856,0.0,0.08805206975980462,0.21224749587981484,0.8512396694214877,0.8512396694214877,0.8815426997245179,0.7296831955922864,1.0,1.0,1.0,1.0,0.9196428571428571,0.9196428571428571,0.9370424597364568,0.8437188930917778,0.08161157024793389,0.013085399449035813,0.007920110192837466,0.08161157024793389,0.013085399449035813,0.007920110192837466,2904.0
L4-species,Adriatic_Sea,1180,3655,2,2.325,0.4575875187334281,0.4575875187334281,0.6549074686054197,0.5985049267881288,0.0,0.19731994987199158,0.1409174080547007,0.8832271762208068,0.8832271762208068,0.8471337579617835,0.5307855626326964,1.0,1.0,1.0,1.0,0.9379932356257046,0.9379932356257046,0.9172413793103448,0.6934812760055479,0.09766454352441614,0.07112526539278131,0.013800424628450107,0.09766454352441614,0.07112526539278131,0.013800424628450107,942.0
L4-species,DRYAD,6770,3768,2,3.229,0.5708941815468074,0.5708941815468074,0.6222408589197115,0.6924322273012702,0.0,0.051346677372904104,0.12153804575446281,0.6529492455418381,0.6529492455418381,0.6759259259259259,0.5270919067215364,1.0,1.0,1.0,1.0,0.7900414937759336,0.7900414937759336,0.8066298342541437,0.6903211318212441,0.2681755829903978,0.21056241426611796,0.1210562414266118,0.2681755829903978,0.21056241426611796,0.1210562414266118,2916.0
L4-species,ECOSS_testtrain,36044,4191,6,2.109,0.14472940667721104,0.14472940667721104,0.11273328376761287,0.31537674839596996,0.0,-0.031996122909598176,0.17064734171875892,0.43,0.43,0.3717832167832168,0.30160287081339715,0.34228571428571425,0.34228571428571425,0.6775510204081632,0.3761416589002796,0.2597893936926668,0.2597893936926668,0.3229152530577448,0.2441534753436258,0.6299212598425197,0.6220472440944882,0.29133858267716534,0.007874015748031496,0.28346456692913385,0.0,127.0
L4-species,WATKINS,1775,3514,7,2.313,0.11197504402543242,0.11197504402543242,0.13745997985629319,0.14037852391510927,0.0,0.02548493583086077,0.028403479889676855,0.3138781153487035,0.3138781153487035,0.30601642366348253,0.24897401980735312,0.20714883800410117,0.20714883800410117,0.2464900454812459,0.10540388668462253,0.11197504402543242,0.11197504402543242,0.13745997985629319,0.14037852391510927,0.712112676056338,0.4512676056338028,0.3340845070422535,0.0,0.0,0.0,1775.0
