level,held_out,n_test,n_val_species,n_classes_test,argmax_macro_f1,vec_macro_f1,pr_thresh_macro_f1,con2_macro_f1,con3_macro_f1,delta_vec,delta_pr_thresh,delta_con2,delta_con3,argmax_sp_recall,vec_sp_recall,pr_thresh_sp_recall,con2_sp_recall,con3_sp_recall,argmax_sp_prec,vec_sp_prec,pr_thresh_sp_prec,con2_sp_prec,con3_sp_prec,argmax_sp_f1,vec_sp_f1,pr_thresh_sp_f1,con2_sp_f1,con3_sp_f1,argmax_inter_conf,vec_inter_conf,pr_thresh_inter_conf,con2_inter_conf,con3_inter_conf,argmax_hallucin,vec_hallucin,pr_thresh_hallucin,con2_hallucin,con3_hallucin,sp_n_rows
L2-coarse,DOLPHINFREE,3290,8439,2,0.7646560640814435,0.7306921162857367,0.8031385938424632,0.7646560640814435,0.8031385938424632,-0.03396394779570677,0.038482529761019735,0.0,0.038482529761019735,0.9547826086956521,0.9652173913043478,0.928695652173913,0.9547826086956521,0.928695652173913,1.0,1.0,1.0,1.0,1.0,0.9768683274021353,0.9823008849557522,0.9630297565374211,0.9768683274021353,0.9630297565374211,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,1150.0
L2-coarse,DRYAD,6770,7639,2,0.7262170337015657,0.7056092705815441,0.7554935059520878,0.7261042680033394,0.7554935059520878,-0.02060776312002155,0.0292764722505221,-0.00011276569822626925,0.0292764722505221,0.8425925925925926,0.857681755829904,0.8000685871056241,0.8425925925925926,0.8000685871056241,1.0,1.0,1.0,1.0,1.0,0.914572864321608,0.9233893298873915,0.8889312249952371,0.914572864321608,0.8889312249952371,0.06893004115226338,0.06858710562414266,0.059670781893004114,0.06824417009602195,0.059670781893004114,0.06893004115226338,0.06858710562414266,0.059670781893004114,0.06824417009602195,0.059670781893004114,2916.0
L2-coarse,OLTREMARE,16860,6700,2,0.8108892217600653,0.7951507444996972,0.8168051493024857,0.8108892217600653,0.8168051493024857,-0.015738477260368033,0.005915927542420429,0.0,0.005915927542420429,0.6473829201101928,0.6993801652892562,0.6212121212121212,0.6473829201101928,0.6212121212121212,1.0,1.0,1.0,1.0,1.0,0.7859531772575251,0.8231003039513678,0.7663551401869159,0.7859531772575251,0.7663551401869159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.0
L2-coarse,DCLDE_2026,174538,5822,2,0.46515620278808256,0.4649706419291725,0.4886893149221102,0.4722328089809187,0.4938688909731372,-0.00018556085891008323,0.023533112134027645,0.007076606192836121,0.028712688185054625,0.5788624631268436,0.5942109144542773,0.5522676991150443,0.5743455014749262,0.5512536873156342,1.0,1.0,1.0,1.0,1.0,0.7332652167566779,0.7454608534751938,0.7115624443256725,0.7296308223790146,0.71072022819111,0.008757374631268437,0.012168141592920354,0.00497787610619469,0.009448746312684365,0.0037794985250737463,0.008757374631268437,0.012168141592920354,0.00497787610619469,0.009448746312684365,0.0037794985250737463,21696.0
L2-coarse,Adriatic_Sea,1180,6934,2,0.6759183855958049,0.707344153945713,0.6011519514967791,0.6759183855958049,0.6011519514967791,0.03142576834990818,-0.07476643409902572,0.0,-0.07476643409902572,0.6422505307855626,0.6878980891719745,0.5329087048832272,0.6422505307855626,0.5329087048832272,1.0,1.0,1.0,1.0,1.0,0.7821590174531351,0.8150943396226416,0.6952908587257618,0.7821590174531351,0.6952908587257618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0
L2-coarse,WATKINS,1877,7821,2,0.4132985658409387,0.43567251461988304,0.39216569113012156,0.4132985658409387,0.39216569113012156,0.02237394877894433,-0.02113287471081715,0.0,-0.02113287471081715,0.3522222222222222,0.3862962962962963,0.3225925925925926,0.3522222222222222,0.3225925925925926,0.5,0.49952107279693486,0.5,0.5,0.5,0.4132985658409387,0.43567251461988304,0.39216569113012156,0.4132985658409387,0.39216569113012156,0.2775705913692062,0.2924880127863612,0.005327650506126798,0.27064464571124136,0.005327650506126798,0.2770378263185935,0.2914224826851359,0.005327650506126798,0.2701118806606287,0.005327650506126798,1877.0
L2-coarse,MONISH,617,7820,2,0.400396432111001,0.4156219864995178,0.3761658031088083,0.4007936507936508,0.3761658031088083,0.015225554388516804,-0.024230629002192694,0.00039721868264980253,-0.024230629002192694,0.3435374149659864,0.3664965986394558,0.3086734693877551,0.3435374149659864,0.3086734693877551,0.47980997624703087,0.4799554565701559,0.48143236074270557,0.48095238095238096,0.48143236074270557,0.400396432111001,0.4156219864995178,0.3761658031088083,0.4007936507936508,0.3761658031088083,0.13290113452188007,0.13614262560777957,0.09238249594813615,0.1312803889789303,0.09238249594813615,0.10372771474878444,0.1053484602917342,0.06969205834683954,0.10372771474878444,0.06969205834683954,617.0
L2-coarse,ECOSS_annot,752,6859,2,0.1767881241565452,0.18238213399503722,0.18562874251497005,0.1767881241565452,0.18562874251497005,0.005594009838492009,0.00884061835842484,0.0,0.00884061835842484,0.1405579399141631,0.157725321888412,0.13304721030042918,0.1405579399141631,0.13304721030042918,0.2381818181818182,0.2161764705882353,0.3069306930693069,0.2381818181818182,0.3069306930693069,0.1767881241565452,0.18238213399503722,0.18562874251497005,0.1767881241565452,0.18562874251497005,0.19946808510638298,0.2646276595744681,0.1077127659574468,0.19946808510638298,0.1077127659574468,0.007978723404255319,0.007978723404255319,0.003989361702127659,0.007978723404255319,0.003989361702127659,752.0
L2-coarse,ECOSS_testtrain,36044,4197,3,0.06589289776415175,0.054183094578752346,0.08192788061313194,0.06589289776415175,0.08192788061313194,-0.011709803185399402,0.016034982848980195,0.0,0.016034982848980195,0.4330857537403626,0.4488337852364256,0.4055266986222524,0.4330857537403626,0.4055266986222524,0.527363184079602,0.5044059673803819,0.5473345588235294,0.527363184079602,0.5473345588235294,0.05150380332335924,0.008756044978207866,0.08480343686216503,0.05150380332335924,0.08480343686216503,0.05695301376364499,0.38096226862838156,0.02936639772187945,0.05695301376364499,0.02936639772187945,0.0005932605600379687,0.0005932605600379687,0.00014831514000949216,0.0005932605600379687,0.00014831514000949216,33712.0
L4-species,OLTREMARE,16860,3118,2,0.8231811817117837,0.8102710858396928,0.8158722099773487,0.8228157807160148,0.8158722099773487,-0.01291009587209091,-0.00730897173443501,-0.00036540099576887197,-0.00730897173443501,0.653236914600551,0.6887052341597796,0.5547520661157025,0.6522038567493113,0.5547520661157025,1.0,1.0,1.0,1.0,1.0,0.7902520308269111,0.8156606851549756,0.7136212624584718,0.7894956231763235,0.7136212624584718,0.030991735537190084,0.042355371900826444,0.012396694214876033,0.029614325068870524,0.012396694214876033,0.030991735537190084,0.042355371900826444,0.012396694214876033,0.029614325068870524,0.012396694214876033,2904.0
L4-species,DRYAD,6770,3768,2,0.7063202133597719,0.6842913380596116,0.6824705673933187,0.6986096680072229,0.6823597731173976,-0.02202887530016029,-0.023849645966453226,-0.007710545352549003,-0.023960440242374315,0.6546639231824417,0.6652949245541838,0.42661179698216734,0.642318244170096,0.42661179698216734,1.0,1.0,1.0,1.0,1.0,0.7912953367875648,0.7990115321252059,0.5980769230769231,0.7822092294842347,0.5980769230769231,0.18175582990397804,0.203360768175583,0.05589849108367627,0.16666666666666666,0.05452674897119342,0.18175582990397804,0.203360768175583,0.05589849108367627,0.16666666666666666,0.05452674897119342,2916.0
L4-species,Adriatic_Sea,1180,3655,2,0.7604001919547076,0.7556120423154372,0.5181757666198502,0.7448988148479427,0.5181757666198502,-0.004788149639270434,-0.24222442533485744,-0.015501377106764913,-0.24222442533485744,0.7834394904458599,0.7632696390658175,0.4118895966029724,0.7484076433121019,0.4118895966029724,1.0,1.0,1.0,1.0,1.0,0.8785714285714286,0.8657435279951836,0.5834586466165413,0.8561020036429873,0.5834586466165413,0.02335456475583864,0.009554140127388535,0.0010615711252653928,0.008492569002123142,0.0010615711252653928,0.02335456475583864,0.009554140127388535,0.0010615711252653928,0.008492569002123142,0.0010615711252653928,942.0
L4-species,ECOSS_testtrain,36044,4191,6,0.2325927850834807,0.2016773367622221,0.32973547553640825,0.3410302725522963,0.31065425147975795,-0.030915448321258587,0.09714269045292756,0.1084374874688156,0.07806146639627726,0.44402097902097903,0.3708041958041958,0.3021291866028708,0.42583916083916085,0.220311004784689,0.5557588357588357,0.42333333333333334,0.43794117647058817,0.5848546315077756,0.45999999999999996,0.33919472489987357,0.33941985645933015,0.2583436681824446,0.36074626076845834,0.19731724361268768,0.5275590551181102,0.6377952755905512,0.2125984251968504,0.3700787401574803,0.14173228346456693,0.015748031496062992,0.28346456692913385,0.0,0.015748031496062992,0.0,127.0
L4-species,WATKINS,1775,3514,7,0.12316544839660806,0.11942440081376253,0.14555158672805732,0.12052336211867508,0.14555158672805732,-0.003741047582845533,0.022386138331449257,-0.002642086277932984,0.022386138331449257,0.3947340332144254,0.3861376459415675,0.20040530457197123,0.38374502222541435,0.20040530457197123,0.22134718330300948,0.21691637395811433,0.16256804069764305,0.21980674827049415,0.16256804069764305,0.12316544839660806,0.11942440081376253,0.14555158672805732,0.12052336211867508,0.14555158672805732,0.5363380281690141,0.5369014084507042,0.07436619718309859,0.5194366197183099,0.07436619718309859,0.0,0.0,0.0,0.0,0.0,1775.0
L4-species,MONISH,617,3937,5,0.13175573986850206,0.13729754771440097,0.10482577723453637,0.13024158581978582,0.10403071116750377,0.005541807845898916,-0.026929962633965687,-0.001514154048716243,-0.027725028700998286,0.17581299840742964,0.184969052799832,0.11851616779741106,0.17483738865133208,0.11802836291936228,0.20832436804853388,0.20025900025900026,0.22774354460093896,0.20541739130434783,0.22579656862745096,0.13175573986850206,0.13729754771440097,0.10482577723453637,0.13024158581978582,0.10403071116750377,0.5705024311183144,0.6029173419773096,0.3338735818476499,0.5526742301458671,0.31280388978930307,0.06320907617504051,0.06482982171799027,0.04376012965964344,0.05186385737439222,0.02593192868719611,617.0
L4-species,DCLDE_2026,174538,1748,2,0.43991906006064785,0.10531931641995197,0.48903174700327134,0.43158921505095277,0.49034412198069327,-0.3345997436406959,0.049112686942623496,-0.00832984500969508,0.05042506192004542,0.14265302359882007,0.100202802359882,0.03857853982300885,0.0871589233038348,0.038348082595870206,1.0,1.0,1.0,1.0,1.0,0.24968738655157113,0.18215333054042732,0.07429103980828118,0.16034256158053165,0.07386363636363637,0.5793694690265486,0.8915468289085545,0.43247603244837757,0.5290837020648967,0.4113661504424779,0.5793694690265486,0.8915468289085545,0.43247603244837757,0.5290837020648967,0.4113661504424779,21696.0
L4-species,DOLPHINFREE,3290,3346,2,0.4396777731690262,0.38930235355094395,0.4124061592416023,0.40194557403588566,0.41252506700477776,-0.05037541961808223,-0.027271613927423888,-0.03773219913314052,-0.02715270616424842,0.06173913043478261,0.01217391304347826,0.004347826086956522,0.01217391304347826,0.004347826086956522,1.0,1.0,1.0,1.0,1.0,0.1162981162981163,0.024054982817869417,0.008658008658008658,0.024054982817869417,0.008658008658008658,0.8226086956521739,0.9026086956521739,0.29478260869565215,0.7713043478260869,0.29478260869565215,0.8226086956521739,0.9026086956521739,0.29478260869565215,0.7713043478260869,0.29478260869565215,1150.0
L4-species,ECOSS_annot,286,3069,1,0.625,0.2613981762917933,0.9542961608775137,0.8181818181818182,0.96,-0.3636018237082067,0.3292961608775137,0.19318181818181823,0.33499999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,
