held_out,n_train,n_test,n_train_classes,n_test_classes,val_macro_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_weighted_f1,test_accuracy,test_balanced_acc,sp_n_rows,sp_n_classes,sp_macro_f1,sp_balanced_acc,sp_frac_routed_to_bg
OLTREMARE,207861,16860,11,2,0.7895873102667383,0.8298653493535969,0.15088460897338127,0.9032346786331894,0.9011862396204033,0.8103714093171218,2904,1,0.803707518022657,0.671831955922865,0.3181818181818182
DRYAD,216181,6770,11,2,0.7407828056465668,0.7102978358699911,0.1291450610672711,0.7173619314398694,0.6567208271787297,0.6528815304570172,2916,1,0.769360624604347,0.6251714677640604,0.1419753086419753
Adriatic_Sea,224992,1180,11,2,0.6933379908528056,0.6754480594791425,0.12280873808711683,0.700046159781763,0.635593220338983,0.7356509482774001,942,1,0.7244414353419093,0.5679405520169851,0.23885350318471338
FREMANTLE,220854,332,11,1,0.7164974151120945,0.4943310657596372,0.04493918779633065,0.4943310657596372,0.32831325301204817,0.32831325301204817,332,1,0.4943310657596372,0.32831325301204817,0.21686746987951808
ECOSS_enhanced,221894,168,11,6,0.7154985557917609,0.4932530432530433,0.26904711450165997,0.34482878232878234,0.3273809523809524,0.474320987654321,143,5,0.551903651903652,0.5451851851851852,0.013986013986013986
DCLDE_2026,65863,174538,11,2,0.8422832198187664,0.4712432269885213,0.08568058672518569,0.6403347953096018,0.5105879521937916,0.36224623571591597,21696,1,0.28300094966761635,0.16482300884955753,0.3376198377581121
DOLPHINFREE,217588,3290,11,2,0.6302344938764409,0.40344242636951244,0.07335316843082045,0.4635077451104065,0.32857142857142857,0.2793214140593255,1150,1,0.2073265783320343,0.11565217391304349,0.04869565217391304
ECOSS_annot,222293,752,11,2,0.5516913854899061,0.3124087591240876,0.05680159256801593,0.23763006678055598,0.2845744680851064,0.3741258741258741,466,1,0.0,0.0,0.3969957081545064
ECOSS_testtrain,191477,36044,11,6,0.7857470046517027,0.22223591411994334,0.12121958951996908,0.9679447367480046,0.9422927533015204,0.6060944404062601,127,5,0.48867100182889656,0.5384946632315053,0.047244094488188976
ALNITAK_CAVANILLES,216635,4786,11,6,0.8497722463002823,0.1706929862269612,0.0931052652147061,0.8605252366919109,0.8863351441704973,0.16999656543183442,438,5,0.017870664849310918,0.009239668766591385,0.8858447488584474
MONISH,219584,617,11,5,0.6881281927935995,0.07520976353928299,0.034186256154219545,0.06969453088008584,0.07455429497568881,0.1584109298160669,617,5,0.07520976353928299,0.1584109298160669,0.2787682333873582
