level,held_out,n_train,n_val,n_test,n_classes_train,n_classes_test,val_macro_f1,argmax_macro_f1,argmax_macro_f1_full,argmax_weighted_f1,argmax_accuracy,argmax_balanced_acc,thresh_macro_f1,thresh_macro_f1_full,thresh_weighted_f1,thresh_accuracy,thresh_balanced_acc,delta_macro_f1,delta_balanced_acc,elapsed_s
L1-binary,OLTREMARE,207847,22923,16860,2,2,0.8597768471532067,0.8258160405199452,0.8258160405199452,0.9052614721632603,0.9101423487544484,0.7961469518131364,0.825790785916156,0.825790785916156,0.906087618722217,0.9119217081850534,0.7908133354178066,-2.5254603789215402e-05,-0.00533361639532981,61.126062631607056
L1-binary,FREMANTLE,223297,24001,332,2,1,0.8651974688569953,0.8668941979522184,0.4334470989761092,0.8668941979522186,0.7650602409638554,0.7650602409638554,0.8014440433212996,0.4007220216606498,0.8014440433212996,0.6686746987951807,0.6686746987951807,-0.06545015463091886,-0.09638554216867468,65.53690361976624
L1-binary,DRYAD,218499,22361,6770,2,2,0.8612495462579075,0.7640317091251487,0.7640317091251487,0.7666829640753154,0.7655834564254062,0.7691122935001349,0.7753970124087886,0.7753970124087886,0.7788353033867913,0.778138847858198,0.7777610492154304,0.011365303283639827,0.008648755715295553,99.76013207435608
L1-binary,DOLPHINFREE,220540,23800,3290,2,2,0.8589727096634688,0.7352190755933747,0.7352190755933747,0.7453662264191351,0.7395136778115502,0.7710036570499796,0.7578485491861289,0.7578485491861289,0.7719123983333227,0.7668693009118541,0.7793600162535554,0.022629473592754135,0.008356359203575803,77.26905632019043
L1-binary,MONISH,218880,28133,617,2,1,0.8473046320747931,0.8065764023210832,0.4032882011605416,0.8065764023210832,0.6758508914100486,0.6758508914100486,0.7433808553971487,0.37169042769857435,0.7433808553971487,0.5915721231766613,0.5915721231766613,-0.06319554692393448,-0.08427876823338731,84.20264935493469
L1-binary,WATKINS,218727,27026,1877,2,1,0.8403924376452028,0.6506110711718188,0.3253055355859094,0.6506110711718188,0.4821523708044752,0.4821523708044752,0.6070500927643785,0.30352504638218925,0.6070500927643785,0.4358018114011721,0.4358018114011721,-0.04356097840744033,-0.046350559403303127,72.22013640403748
L1-binary,DCLDE_2026,63694,9398,174538,2,2,0.6101114881569234,0.567680203948875,0.567680203948875,0.7555478900938486,0.7122804203096174,0.6378371128957897,0.6025551529310162,0.6025551529310162,0.8027515928992595,0.7811651330942259,0.6372243507683277,0.034874948982141274,-0.0006127621274619743,12.511650800704956
L1-binary,ECOSS_enhanced,219516,27946,168,2,2,0.8423348485552951,0.5913273400317293,0.5913273400317293,0.8254047996776711,0.8630952380952381,0.573006993006993,0.5913273400317293,0.5913273400317293,0.8254047996776711,0.8630952380952381,0.573006993006993,0.0,0.0,110.7601318359375
L1-binary,ECOSS_testtrain,191702,19884,36044,2,2,0.8573651423598638,0.5184884213051509,0.5184884213051509,0.9560428922835376,0.921762290533792,0.9293581286163046,0.5367920086961803,0.5367920086961803,0.968279617021144,0.9444567750527133,0.921130059483161,0.01830358739102933,-0.008228069133143667,62.41008687019348
L1-binary,ALNITAK_CAVANILLES,216635,25793,5202,2,2,0.8694026161326961,0.5201809553947983,0.5201809553947983,0.7698500191690238,0.8081507112648981,0.5243728307073806,0.5085388925796482,0.5085388925796482,0.7708651916044894,0.8189158016147635,0.5195209404738564,-0.011642062815150012,-0.00485189023352417,91.32310581207275
L1-binary,ECOSS_annot,225249,21629,752,2,2,0.8552848393897119,0.41763824058088395,0.41763824058088395,0.4083699492252577,0.42021276595744683,0.46263393259101415,0.4290279704010431,0.4290279704010431,0.40994522057182836,0.4401595744680851,0.5023635163120141,0.011389729820159178,0.039729583720999995,70.84402775764465
L1-binary,Adriatic_Sea,222878,23572,1180,2,2,0.868422292841891,0.47163772084907735,0.47163772084907735,0.49514612354798426,0.4745762711864407,0.6677728416207247,0.3906040017784405,0.3906040017784405,0.3865985491960477,0.3906779661016949,0.6167951256935895,-0.08103371907063683,-0.05097771592713518,95.54720211029053
