level,held_out,n_test,n_classes_test,val_macro_f1,argmax_macro_f1,generic_macro_f1,species_macro_f1,delta_generic,delta_species,argmax_sp_recall,generic_sp_recall,species_sp_recall,argmax_sp_precision,generic_sp_precision,species_sp_precision,argmax_sp_f1,generic_sp_f1,species_sp_f1,argmax_inter_conf,generic_inter_conf,species_inter_conf,sp_n_rows
L4-species,OLTREMARE,16860,2,0.7578254164868627,0.7595354476905005,0.8041229500412608,0.7424883014616885,0.044587502350760255,-0.017047146228811982,0.7465564738292011,0.6742424242424242,0.7675619834710744,1.0,1.0,1.0,0.8548895899053628,0.8054298642533937,0.8684979544126242,0.0,0.0,0.0,2904
L4-species,Adriatic_Sea,1180,2,0.7526952632353772,0.703005115089514,0.6229707042726433,0.7145046578477141,-0.08003441081687068,0.011499542758200088,0.6528662420382165,0.5276008492569002,0.6698513800424628,1.0,1.0,1.0,0.789980732177264,0.6907574704656011,0.8022886204704387,0.0,0.0,0.0,942
L4-species,DRYAD,6770,2,0.7672310727598574,0.6659800863323104,0.7184092848233861,0.6368593045601623,0.052429198491075635,-0.029120781772148163,0.5991083676268861,0.522633744855967,0.5973936899862826,1.0,1.0,1.0,0.7493030238044177,0.6864864864864865,0.7479604980678403,0.0,0.0,0.0,2916
L4-species,FREMANTLE,332,1,0.6898021299497842,0.7056530214424951,0.46296296296296297,0.6954813359528488,-0.24269005847953212,-0.01017168548964631,0.5451807228915663,0.30120481927710846,0.5331325301204819,1.0,1.0,1.0,0.7056530214424951,0.46296296296296297,0.6954813359528488,0.0,0.0,0.0,332
L4-species,ECOSS_testtrain,36044,6,0.7810670050557423,0.212782053011107,0.36586144572573004,0.18918157085200882,0.15307939271462304,-0.023600482159098185,0.5714685314685315,0.4977585572322415,0.595944055944056,0.6645833333333333,0.712280701754386,0.6674242424242424,0.5784871054364897,0.5608733311951686,0.5986749487822278,0.15748031496062992,0.07086614173228346,0.15748031496062992,127
L4-species,ECOSS_enhanced,168,6,0.7419059803146049,0.5169811046405955,0.51105222734255,0.5169811046405955,-0.005928877298045587,0.0,0.557037037037037,0.5437037037037037,0.557037037037037,0.5791666666666667,0.5875,0.5791666666666667,0.5670439922353814,0.5632626728110599,0.5670439922353814,0.013986013986013986,0.006993006993006993,0.013986013986013986,143
L4-species,DCLDE_2026,174538,2,0.8435987004869537,0.45767694677858206,0.4882032062829335,0.443119189721278,0.03052625950435145,-0.014557757057304055,0.14214601769911506,0.14297566371681417,0.14551069321533924,1.0,1.0,1.0,0.24891041162227603,0.250181466247278,0.25405383655896674,0.0,0.0,0.0,21696
L4-species,DOLPHINFREE,3290,2,0.6217969595513471,0.4247176440430056,0.4189835088888717,0.3050828373134559,-0.005734135154133901,-0.11963480672954968,0.1817391304347826,0.051304347826086956,0.08608695652173913,1.0,1.0,1.0,0.30757910228108903,0.09760132340777503,0.15852682145716573,0.0,0.0,0.0,1150
L4-species,MONISH,617,5,0.628179542450887,0.08861618683150665,0.08751221001221002,0.08583191456430894,-0.001103976819296637,-0.0027842722671977127,0.1660078986821918,0.10477852771830756,0.16964339258317243,0.1655602372034956,0.16765167307816292,0.1678948871750928,0.08861618683150665,0.08751221001221002,0.08583191456430894,0.6320907617504052,0.3095623987034036,0.6823338735818476,617
L4-species,WATKINS,1860,8,0.5961144135224687,0.08979097028969213,0.102663267486586,0.0784112725886757,0.012872297196893867,-0.011379697701016434,0.27133201058201056,0.23628785951702616,0.27909025234025236,0.17275537104523442,0.19016690874255587,0.16883223497221567,0.08979097028969213,0.102663267486586,0.0784112725886757,0.4543010752688172,0.2967741935483871,0.5026881720430108,1860
L4-species,ECOSS_annot,752,2,0.5654706778948646,0.3094096572798398,0.33700286317373407,0.19813248766737138,0.027593205893894246,-0.11127716961246845,0.02145922746781116,0.012875536480686695,0.015021459227467811,1.0,1.0,1.0,0.04201680672268908,0.025423728813559324,0.02959830866807611,0.0,0.0,0.0,466
L4-species,ALNITAK_CAVANILLES,4786,6,0.797052504184126,0.1661601072233168,0.16343765083680567,0.16637298643337461,-0.0027224563865111406,0.00021287921005780364,0.006188834739886683,0.0036530765878204363,0.007005031895083005,0.4,0.4,0.4,0.012187812187812189,0.007236790911213135,0.013686466625842008,0.0182648401826484,0.00228310502283105,0.0091324200913242,438
