level,held_out,n_train,n_val,n_test,n_classes_train,n_classes_test,val_macro_f1,argmax_macro_f1,argmax_macro_f1_full,argmax_weighted_f1,argmax_accuracy,argmax_balanced_acc,thresh_macro_f1,thresh_macro_f1_full,thresh_weighted_f1,thresh_accuracy,thresh_balanced_acc,delta_macro_f1,delta_balanced_acc,elapsed_s
L4-species,OLTREMARE,207861,22493,16860,11,2,0.763901907486531,0.8070579733453127,0.1467378133355114,0.885938946973887,0.8743772241992882,0.7958138506143275,0.8209555251127817,0.14926464092959668,0.9016449695811746,0.901067615658363,0.7913471856057646,0.013897551767468985,-0.0044666650085629644,63.49818420410156
L4-species,DRYAD,216181,24263,6770,11,2,0.7275215809833384,0.669392242526035,0.1217076804592791,0.6716549448772895,0.5942392909896602,0.5987129328871434,0.7115399147804753,0.12937089359645004,0.7214699454607079,0.6930576070901034,0.6744885153080582,0.04214767225444027,0.07577558242091476,40.16242718696594
L4-species,Adriatic_Sea,224992,21042,1180,11,2,0.7103555311015457,0.7340394014321356,0.1334617093512974,0.799328673577799,0.7728813559322034,0.7949472782743672,0.660828268929404,0.12015059435080074,0.7216853338619619,0.690677966101695,0.7905627219040483,-0.07321113250273159,-0.004384556370318871,39.99168872833252
L4-species,DCLDE_2026,65863,6813,174538,11,2,0.8254490856677655,0.5205921577233324,0.09465311958606044,0.6811418891612399,0.5613276192004033,0.4204636241639669,0.5365638912152595,0.09755707113004718,0.7185146349553616,0.6143819683965669,0.44403305874771326,0.015971733491927043,0.023569434583746385,15.932196140289307
L4-species,ECOSS_enhanced,221894,25152,168,11,6,0.7320114340823693,0.5296341380942721,0.2888913480514211,0.3669910345960255,0.35119047619047616,0.514320987654321,0.5136384342391017,0.28016641867587366,0.35448317480496094,0.3333333333333333,0.49086419753086424,-0.01599570385517035,-0.02345679012345675,54.221357583999634
L4-species,ECOSS_testtrain,191477,19693,36044,11,6,0.7586760464014614,0.24926848740371935,0.13596462949293783,0.9601245100835332,0.9276162468094551,0.6515982685540277,0.4104500324713721,0.22388183589347566,0.9875147222130911,0.9793863056264566,0.5737160682492976,0.16118154506765273,-0.07788220030473014,38.27953052520752
L4-species,DOLPHINFREE,217588,26336,3290,11,2,0.6202272180637851,0.34570898051690424,0.06285617827580077,0.4048032900369494,0.27811550151975684,0.23269199512393335,0.4103527256069629,0.07460958647399325,0.5195521625380983,0.521580547112462,0.40656643640796425,0.06464374509005866,0.1738744412840309,33.43472456932068
L4-species,ECOSS_annot,222293,24169,752,11,2,0.5870500837826488,0.300148588410104,0.05457247062001891,0.2283045113970472,0.26861702127659576,0.3531468531468531,0.31971153846153844,0.058129370629370625,0.24318484042553187,0.3537234042553192,0.46503496503496505,0.019562950051434436,0.11188811188811193,43.01912498474121
L4-species,FREMANTLE,220854,26028,332,11,1,0.6940912607708666,0.4485981308411215,0.04078164825828377,0.4485981308411215,0.2891566265060241,0.2891566265060241,0.25263157894736843,0.022966507177033493,0.25263157894736843,0.14457831325301204,0.14457831325301204,-0.19596655189375306,-0.14457831325301204,68.23162841796875
L4-species,ALNITAK_CAVANILLES,216635,25793,4786,11,6,0.8585791692563632,0.18267152312277213,0.09963901261242115,0.8382560947734755,0.8349352277475972,0.1693256548961994,0.1844067687402298,0.10058551022194352,0.854544404321278,0.8717091516924362,0.1751792848105931,0.0017352456174576647,0.005853629914393699,77.93449282646179
L4-species,WATKINS,223731,21606,1860,10,8,0.6999091815878591,0.14826448535563372,0.11861158828450699,0.13034178457756268,0.11935483870967742,0.3091528545891291,0.1401263263920203,0.11210106111361624,0.08521458088847884,0.08118279569892473,0.2524739469862019,-0.008138158963613418,-0.05667890760292721,42.666208028793335
L4-species,MONISH,219584,27013,617,11,5,0.6206385644666819,0.07256384460609813,0.0329835657300446,0.05908307343123697,0.06645056726094004,0.15105430489846633,0.06615927012653584,0.030072395512061745,0.06840799348848461,0.05834683954619125,0.10286394315748945,-0.006404574479562289,-0.04819036174097688,43.39692568778992
