k,held_out,macro_f1,weighted_f1,accuracy,balanced_acc,n_seed_rows,n_test_rows,class_names,test_classes_present
4,OLTREMARE,0.7707038980893377,0.8547344351092481,0.8388915262283408,0.8174782999841822,8,16852,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[8, 9]"
4,MONISH,0.606602429579828,0.7569413121914584,0.7018425460636516,0.564461675095968,20,597,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[0, 3, 4, 5, 8]"
4,FREMANTLE,0.7851851851851852,0.7851851851851853,0.6463414634146342,0.6463414634146342,4,328,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']",[8]
4,ECOSS_testtrain,0.22280850149270282,0.9686699330523507,0.943364797334814,0.7208644322685548,24,36020,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[2, 3, 5, 6, 8, 9]"
4,ECOSS_enhanced,0.6810169804355851,0.6045261935523564,0.5763888888888888,0.6463391680782985,24,144,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[1, 5, 6, 7, 8, 9]"
4,ECOSS_annot,0.69931794311903,0.7026503573657737,0.6532258064516129,0.6848576954959933,8,744,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[1, 9]"
4,DRYAD,0.7032635272900538,0.7057622789506777,0.6286601597160604,0.6297202797202797,8,6762,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[8, 9]"
4,DOLPHINFREE,0.749272987172328,0.7416665826736213,0.6572212065813529,0.692776045649744,8,3282,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[2, 9]"
4,DCLDE_2026,0.630575294145608,0.7674229805241534,0.6727439408697645,0.5685474250259647,8,174530,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[5, 9]"
4,Adriatic_Sea,0.6837493906140302,0.8060113099051257,0.8131399317406144,0.6539327173655531,8,1172,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[8, 9]"
4,ALNITAK_CAVANILLES,0.1974681289195074,0.6486526463535454,0.5302393952120957,0.32637809205219176,24,4762,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[3, 4, 6, 7, 8, 9]"
16,OLTREMARE,0.7559476909620968,0.8425352291504916,0.8243403850724982,0.8155974655925473,32,16828,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[8, 9]"
16,MONISH,0.811964387348565,0.9044929240587152,0.8789571694599627,0.8218397464171707,80,537,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[0, 3, 4, 5, 8]"
16,FREMANTLE,0.8754448398576512,0.8754448398576512,0.7784810126582279,0.7784810126582279,16,316,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']",[8]
16,ECOSS_testtrain,0.18403732230397052,0.9298411099684984,0.870563035495716,0.8159871359200767,96,35948,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[2, 3, 5, 6, 8, 9]"
16,ECOSS_enhanced,0.7578292578292579,0.7359953938901307,0.6710526315789473,0.7220279720279721,92,76,"['Balaenoptera_physalus', 'Delphinidae_unknown', 'Delphinus_delphis', 'Globicephala_melas', 'Grampus_griseus', 'Orcinus_orca', 'Physeter_macrocephalus', 'Stenella_coeruleoalba', 'Tursiops_truncatus', 'background']","[1, 5, 6, 7, 8, 9]"
