species,dataset,n,p10,median,p90,pct_above_50,pct_above_30
Balaenoptera_acutorostrata,WATKINS,17,1.0,1.0,1.0,1.0,1.0
Balaenoptera_physalus,WATKINS,510,1.0,1.0,1.0,0.9921568627450981,0.996078431372549
Balaenoptera_physalus,MONISH,29,0.01908701192587614,0.25594401359558105,0.9438192009925842,0.3103448275862069,0.41379310344827586
Delphinidae_unknown,ECOSS_annot,466,0.6577792465686798,0.9598604440689087,0.9937135577201843,0.9570815450643777,0.9742489270386266
Delphinidae_unknown,ECOSS_enhanced,42,0.18886237889528276,0.2950225919485092,0.5785842597484588,0.19047619047619047,0.5
Delphinus_delphis,WATKINS,102,0.5234745979309082,0.8675520122051239,0.9564378142356873,0.9117647058823529,0.9803921568627451
Delphinus_delphis,DOLPHINFREE,1150,0.6257203936576843,0.7711924612522125,0.8456212699413299,0.9808695652173913,1.0
Delphinus_delphis,ECOSS_testtrain,40,0.18966583162546158,0.2505536451935768,0.4394130885601044,0.025,0.375
Globicephala_melas,MONISH,410,0.478197118639946,0.7900566458702087,0.9454497814178467,0.8829268292682927,0.973170731707317
Globicephala_melas,ALNITAK_CAVANILLES,141,0.3188621997833252,0.4881509244441986,0.6428839564323425,0.4397163120567376,0.900709219858156
Globicephala_melas,WATKINS,144,0.22929685562849045,0.3884979486465454,0.6851360380649569,0.2847222222222222,0.6944444444444444
Globicephala_melas,ECOSS_testtrain,26,0.19996364414691925,0.291510671377182,0.4378683269023895,0.038461538461538464,0.46153846153846156
Grampus_griseus,MONISH,113,0.7040616869926453,0.9584469795227051,0.9971305966377259,0.9734513274336283,0.9911504424778761
Grampus_griseus,WATKINS,81,0.4460097849369049,0.8375751376152039,0.9784765839576721,0.8518518518518519,0.9753086419753086
Grampus_griseus,ALNITAK_CAVANILLES,45,0.4679862201213837,0.6355521082878113,0.7371816277503968,0.8666666666666667,1.0
Orcinus_orca,DCLDE_2026,21696,0.5347605347633362,0.6239295899868011,0.668252170085907,0.9456581858407079,0.9992164454277286
Orcinus_orca,ECOSS_enhanced,15,0.4231517493724823,0.4809094965457916,0.5124779582023621,0.2,1.0
Orcinus_orca,ECOSS_testtrain,22,0.37964584231376647,0.4788302034139633,0.5187998533248902,0.2727272727272727,0.9090909090909091
Orcinus_orca,MONISH,37,0.2915330946445465,0.4703788757324219,0.6404514312744141,0.3783783783783784,0.8648648648648649
Orcinus_orca,WATKINS,39,0.1735580325126648,0.4074762165546417,0.5703370094299317,0.28205128205128205,0.8205128205128205
Physeter_macrocephalus,WATKINS,875,0.7691621303558349,0.9813001751899719,0.9975822567939758,0.9794285714285714,0.9908571428571429
Physeter_macrocephalus,ECOSS_enhanced,15,0.28868989944458007,0.6137458086013794,0.7297023296356201,0.6666666666666666,0.8
Physeter_macrocephalus,ALNITAK_CAVANILLES,179,0.35978021621704104,0.5407058000564575,0.7227908492088319,0.5865921787709497,0.9497206703910615
Physeter_macrocephalus,ECOSS_testtrain,20,0.26369824409484866,0.5092535018920898,0.7285590827465057,0.5,0.7
Stenella_coeruleoalba,ECOSS_enhanced,44,0.9541134417057038,0.9850885570049286,0.9963180959224701,1.0,1.0
Stenella_coeruleoalba,WATKINS,85,0.2659821271896362,0.9200001955032349,0.995649778842926,0.7529411764705882,0.8470588235294118
Stenella_coeruleoalba,ALNITAK_CAVANILLES,15,0.16309715211391448,0.28358760476112366,0.45660700798034665,0.13333333333333333,0.4666666666666667
Tursiops_truncatus,Adriatic_Sea,942,0.25559644997119907,0.39487235248088837,0.5123370230197907,0.12632696390658174,0.8184713375796179
Tursiops_truncatus,FREMANTLE,332,0.25808362364768983,0.39263415336608887,0.5378521978855133,0.19879518072289157,0.8132530120481928
Tursiops_truncatus,OLTREMARE,2904,0.2617385596036911,0.36427968740463257,0.5383450984954835,0.14979338842975207,0.7754820936639119
Tursiops_truncatus,DRYAD,2916,0.2144901379942894,0.34730803966522217,0.5219779908657074,0.12688614540466392,0.6560356652949245
Tursiops_truncatus,ECOSS_enhanced,27,0.15939927995204925,0.22439350187778473,0.33394150137901313,0.0,0.14814814814814814
Tursiops_truncatus,ALNITAK_CAVANILLES,58,0.13260504826903344,0.20985906571149826,0.32700714468956,0.0,0.15517241379310345
Tursiops_truncatus,ECOSS_testtrain,19,0.157962167263031,0.2094476819038391,0.35944544672966,0.0,0.3157894736842105
Tursiops_truncatus,MONISH,28,0.10481012240052223,0.17858970165252686,0.2712418526411057,0.0,0.07142857142857142
Tursiops_truncatus,WATKINS,24,0.13812291324138642,0.17760317027568817,0.2609379768371582,0.0,0.041666666666666664
