held_out,variant,n_train,n_test_tursiops,test_prevalence,best_val_auc,test_auc,test_ap,test_f1,test_recall,test_precision,threshold
ALNITAK_CAVANILLES,varA_bg_only,190008,58,1.3%,0.9924,0.6974,0.0219,0.0,0.0,0.0,0.78
ALNITAK_CAVANILLES,varB_vs_all,211477,58,1.2%,0.9966,0.6387,0.0165,0.0,0.0,0.0,0.9
Adriatic_Sea,varA_bg_only,195911,942,79.8%,0.9955,0.8426,0.9494,0.4785,0.3185,0.9615,0.92
Adriatic_Sea,varB_vs_all,219918,942,79.8%,0.9977,0.8292,0.9486,0.349,0.2123,0.9804,0.95
DRYAD,varA_bg_only,187459,2916,43.1%,0.9945,0.8597,0.8714,0.755,0.6886,0.8356,0.95
DRYAD,varB_vs_all,210805,2916,43.1%,0.9971,0.8026,0.8076,0.6735,0.5936,0.7783,0.95
ECOSS_enhanced,varA_bg_only,194037,27,51.9%,0.995,1.0,1.0,0.9811,0.963,1.0,0.95
ECOSS_enhanced,varB_vs_all,217729,27,16.1%,0.9931,0.9714,0.9601,0.8929,0.9259,0.8621,0.92
ECOSS_testtrain,varA_bg_only,162253,19,0.1%,0.9968,0.9991,0.866,0.4474,0.8947,0.2982,0.92
ECOSS_testtrain,varB_vs_all,187762,19,0.1%,0.9972,0.9999,0.9105,0.5965,0.8947,0.4474,0.95
FREMANTLE,varA_bg_only,195947,332,100.0%,0.9937,,1.0,0.5212,0.3524,1.0,0.92
FREMANTLE,varB_vs_all,216088,332,100.0%,0.9972,,1.0,0.0585,0.0301,1.0,0.95
MONISH,varA_bg_only,193137,28,100.0%,0.9959,,1.0,0.0,0.0,0.0,0.95
MONISH,varB_vs_all,214570,28,4.5%,0.9948,0.5938,0.0677,0.0,0.0,0.0,0.95
OLTREMARE,varA_bg_only,179045,2904,17.2%,0.9923,0.8869,0.7796,0.712,0.6653,0.7658,0.6
OLTREMARE,varB_vs_all,204437,2904,17.2%,0.9969,0.8985,0.783,0.7159,0.6126,0.8611,0.95
WATKINS,varA_bg_only,196540,24,100.0%,0.9951,,1.0,0.9565,0.9167,1.0,0.95
WATKINS,varB_vs_all,217454,24,1.3%,0.9948,0.9761,0.4702,0.3115,0.7917,0.1939,0.95
