species,dataset,n,p10,median,p90,pct_above_50,pct_above_30
Balaenoptera_acutorostrata,WATKINS,17,1.0,1.0,1.0,0.9411764705882353,0.9411764705882353
Balaenoptera_physalus,MONISH,29,1.0,1.0,1.0,1.0,1.0
Balaenoptera_physalus,WATKINS,510,1.0,1.0,1.0,1.0,1.0
Delphinidae_unknown,ECOSS_annot,466,1.0,1.0,1.0,0.9978540772532188,0.9978540772532188
Delphinidae_unknown,ECOSS_enhanced,42,0.042403226345777534,0.5981235206127167,0.9999994277954102,0.6190476190476191,0.6666666666666666
Delphinus_delphis,DOLPHINFREE,1150,0.9999896168708802,0.9999998807907104,1.0,0.9973913043478261,0.9982608695652174
Delphinus_delphis,WATKINS,102,0.001147526805289096,0.9999958872795105,1.0,0.8725490196078431,0.8725490196078431
Delphinus_delphis,ECOSS_testtrain,40,0.06141730584204197,0.8131890296936035,0.9999951124191284,0.65,0.775
Globicephala_melas,ALNITAK_CAVANILLES,141,0.965654730796814,1.0,1.0,0.9290780141843972,0.9361702127659575
Globicephala_melas,ECOSS_testtrain,26,1.0,1.0,1.0,1.0,1.0
Globicephala_melas,MONISH,410,1.0,1.0,1.0,0.9926829268292683,0.9926829268292683
Globicephala_melas,WATKINS,144,0.9999993205070495,1.0,1.0,0.9583333333333334,0.9652777777777778
Grampus_griseus,MONISH,113,1.0,1.0,1.0,0.9911504424778761,0.9911504424778761
Grampus_griseus,WATKINS,81,1.0,1.0,1.0,1.0,1.0
Grampus_griseus,ALNITAK_CAVANILLES,45,0.999629271030426,0.9999986886978149,1.0,0.9777777777777777,1.0
Orcinus_orca,ECOSS_enhanced,15,0.9543603539466858,0.9782375693321228,0.9928060054779053,1.0,1.0
Orcinus_orca,ECOSS_testtrain,22,0.09561415612697602,0.9702785015106201,0.9914015710353852,0.8181818181818182,0.8181818181818182
Orcinus_orca,DCLDE_2026,21696,0.6355326175689697,0.9361424446105957,0.9962597489356995,0.9312315634218289,0.9597621681415929
Orcinus_orca,WATKINS,39,1.0975982775107698e-06,0.9235407114028931,0.9924668908119202,0.6923076923076923,0.717948717948718
Orcinus_orca,MONISH,37,7.526871623400045e-05,0.9011591672897339,0.9941174745559692,0.6216216216216216,0.6486486486486487
Physeter_macrocephalus,ECOSS_enhanced,15,0.9999775648117065,1.0,1.0,1.0,1.0
Physeter_macrocephalus,ECOSS_testtrain,20,0.9999949693679809,1.0,1.0,1.0,1.0
Physeter_macrocephalus,WATKINS,875,1.0,1.0,1.0,0.9862857142857143,0.9885714285714285
Physeter_macrocephalus,ALNITAK_CAVANILLES,179,0.0012808212661184377,0.9997184872627258,1.0,0.8156424581005587,0.8268156424581006
Stenella_coeruleoalba,ECOSS_enhanced,44,1.0,1.0,1.0,1.0,1.0
Stenella_coeruleoalba,WATKINS,85,1.0,1.0,1.0,1.0,1.0
Stenella_coeruleoalba,ALNITAK_CAVANILLES,15,6.917211636814359e-09,3.3248375075345393e-07,5.838875877088865e-05,0.0,0.0
Tursiops_truncatus,MONISH,28,0.9998773634433746,1.0,1.0,0.9642857142857143,0.9642857142857143
Tursiops_truncatus,DRYAD,2916,0.9828465580940247,0.9999991655349731,1.0,0.9879972565157751,0.9945130315500685
Tursiops_truncatus,ECOSS_enhanced,27,0.995391571521759,0.9999988079071045,1.0,0.9629629629629629,0.9629629629629629
Tursiops_truncatus,ECOSS_testtrain,19,0.9961997270584106,0.9999895095825195,1.0,0.9473684210526315,0.9473684210526315
Tursiops_truncatus,Adriatic_Sea,942,0.9926805078983307,0.9999822378158569,0.9999998807907104,0.9989384288747346,0.9989384288747346
Tursiops_truncatus,OLTREMARE,2904,0.7406906962394715,0.9994453191757202,1.0,0.9552341597796143,0.9741735537190083
Tursiops_truncatus,WATKINS,24,0.013318256847560411,0.9379893243312836,0.9994860053062439,0.6666666666666666,0.7083333333333334
Tursiops_truncatus,FREMANTLE,332,2.2457888775306857e-07,0.07595288753509521,0.978143984079361,0.3373493975903614,0.4006024096385542
Tursiops_truncatus,ALNITAK_CAVANILLES,58,2.595756868686295e-05,0.023611112497746944,0.961597752571106,0.27586206896551724,0.29310344827586204
