Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin Date Time	End Date Time	Delta Time (s)	signalType	species	deploymentType	deploymentID	selectionID
1	Spectrogram 1	1	F_D07_20231011_094800.WAV	F_D07_20231011_094800.WAV	26.65882613	27.888978873	6837.736	19607.547	6937.5	2023-10-11 09:48:26.6588	2023-10-11 09:48:27.889	1.2302	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_01_delphinidae_whistles
2	Spectrogram 1	1	F_D07_20231011_094800.WAV	F_D07_20231011_094800.WAV	29.197771518	30.427924261	7018.868	19788.679	13125	2023-10-11 09:48:29.1978	2023-10-11 09:48:30.4279	1.2302	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_02_delphinidae_whistles
3	Spectrogram 1	1	F_D07_20231011_095600.WAV	F_D07_20231011_095600.WAV	85.270177744	86.519990463	6656.604	26264.151	14812.5	2023-10-11 09:56:25.2702	2023-10-11 09:56:26.52	1.2498	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_03_delphinidae_whistles
4	Spectrogram 1	1	F_D07_20231011_095600.WAV	F_D07_20231011_095600.WAV	103.680804946	104.910957689	6837.736	19607.547	14812.5	2023-10-11 09:56:43.6808	2023-10-11 09:56:44.911	1.2302	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_04_delphinidae_whistles
5	Spectrogram 1	1	F_D07_20231011_104000.WAV	F_D07_20231011_104000.WAV	150.921257181	152.151409925	6837.736	19607.547	15937.5	2023-10-11 10:40:30.9213	2023-10-11 10:40:32.1514	1.2302	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_05_delphinidae_whistles
6	Spectrogram 1	1	F_D07_20231011_104000.WAV	F_D07_20231011_104000.WAV	156.661058791	157.888402966	6837.736	25901.887	13500	2023-10-11 10:40:36.6611	2023-10-11 10:40:37.8884	1.2273	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_06_delphinidae_whistles
7	Spectrogram 1	1	F_D07_20231011_104400.WAV	F_D07_20231011_104400.WAV	198.358873625	199.664857702	7924.528	26445.283	18562.5	2023-10-11 10:44:18.3589	2023-10-11 10:44:19.6649	1.306	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_07_delphinidae_whistles
8	Spectrogram 1	1	F_D07_20231011_152000.WAV	F_D07_20231011_152000.WAV	249.774959156	251.005111899	6837.736	19607.547	12562.5	2023-10-11 15:20:09.775	2023-10-11 15:20:11.0051	1.2302	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_08_delphinidae_whistles
9	Spectrogram 1	1	F_D07_20231011_152000.WAV	F_D07_20231011_152000.WAV	251.521888394	252.752041138	7562.264	20332.075	15937.5	2023-10-11 15:20:11.5219	2023-10-11 15:20:12.752	1.2302	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_09_delphinidae_whistles
10	Spectrogram 1	1	F_D07_20231011_152000.WAV	F_D07_20231011_152000.WAV	287.559684998	289.729303706	5252.83	20762.264	12937.5	2023-10-11 15:20:47.5597	2023-10-11 15:20:49.7293	2.1696	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_10_delphinidae_whistles
11	Spectrogram 1	1	F_D07_20231011_152000.WAV	F_D07_20231011_152000.WAV	290.312783689	292.75693991	5649.057	21158.491	12937.5	2023-10-11 15:20:50.3128	2023-10-11 15:20:52.7569	2.4442	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_11_delphinidae_whistles
12	Spectrogram 1	1	F_D07_20231011_152000.WAV	F_D07_20231011_152000.WAV	293.104665843	295.274284552	5830.189	21339.623	12750	2023-10-11 15:20:53.1047	2023-10-11 15:20:55.2743	2.1696	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_12_delphinidae_whistles
13	Spectrogram 1	1	F_D07_20231011_152000.WAV	F_D07_20231011_152000.WAV	295.418925799	297.588544507	6011.321	21520.755	12750	2023-10-11 15:20:55.4189	2023-10-11 15:20:57.5885	2.1696	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_13_delphinidae_whistles
14	Spectrogram 1	1	F_D07_20231011_152000.WAV	F_D07_20231011_152000.WAV	297.7152575	299.884876208	5252.83	20762.264	12750	2023-10-11 15:20:57.7153	2023-10-11 15:20:59.8849	2.1696	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_14_delphinidae_whistles
15	Spectrogram 1	1	F_D07_20231011_152400.WAV	F_D07_20231011_152400.WAV	302.85154737	304.071167983	2388.679	14852.83	10312.5	2023-10-11 15:24:02.8515	2023-10-11 15:24:04.0712	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_15_delphinidae_whistles
16	Spectrogram 1	1	F_D07_20231011_152400.WAV	F_D07_20231011_152400.WAV	321.427832348	322.647452962	2388.679	14852.83	10125	2023-10-11 15:24:21.4278	2023-10-11 15:24:22.6475	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_16_delphinidae_whistles
17	Spectrogram 1	1	F_D07_20231011_152400.WAV	F_D07_20231011_152400.WAV	324.712784563	325.968565488	5796.226	21809.434	12937.5	2023-10-11 15:24:24.7128	2023-10-11 15:24:25.9686	1.2558	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_17_delphinidae_whistles
18	Spectrogram 1	1	F_D07_20231011_152400.WAV	F_D07_20231011_152400.WAV	326.95198165	328.171602264	4998.113	17462.264	11437.5	2023-10-11 15:24:26.952	2023-10-11 15:24:28.1716	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_18_delphinidae_whistles
19	Spectrogram 1	1	F_D07_20231011_152400.WAV	F_D07_20231011_152400.WAV	328.869465065	330.089085679	6990.566	19454.717	13875	2023-10-11 15:24:28.8695	2023-10-11 15:24:30.0891	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_19_delphinidae_whistles
20	Spectrogram 1	1	F_D07_20231011_152800.WAV	F_D07_20231011_152800.WAV	391.242350281	418.361692273	10752	38784	23437.5	2023-10-11 15:28:31.2424	2023-10-11 15:28:58.3617	27.1193	clicks	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_20_delphinidae_clicks
21	Spectrogram 1	1	F_D07_20231011_153200.WAV	F_D07_20231011_153200.WAV	449.93048871	451.150109324	6990.566	19454.717	12937.5	2023-10-11 15:32:29.9305	2023-10-11 15:32:31.1501	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_21_delphinidae_whistles
22	Spectrogram 1	1	F_D07_20231011_153200.WAV	F_D07_20231011_153200.WAV	452.121171678	453.340792292	6990.566	19454.717	14250	2023-10-11 15:32:32.1212	2023-10-11 15:32:33.3408	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_22_delphinidae_whistles
23	Spectrogram 1	1	F_D07_20231011_153600.WAV	F_D07_20231011_153600.WAV	505.132232906	537.674219764	8064	38400	22500	2023-10-11 15:36:25.1322	2023-10-11 15:36:57.6742	32.542	clicks	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_23_delphinidae_clicks
24	Spectrogram 1	1	F_D07_20231011_154000.WAV	F_D07_20231011_154400.WAV	551.886457305	650.74317933	8640	36672	12750	2023-10-11 15:40:11.8865	2023-10-11 15:44:50.7432	98.8567	clicks	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_24_delphinidae_clicks
25	Spectrogram 1	1	F_D07_20231011_154000.WAV	F_D07_20231011_154000.WAV	580.44172565	581.661346264	4998.113	17462.264	12937.5	2023-10-11 15:40:40.4417	2023-10-11 15:40:41.6613	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_25_delphinidae_whistles
26	Spectrogram 1	1	F_D07_20231011_154000.WAV	F_D07_20231011_154000.WAV	581.879712419	583.099333032	4998.113	17462.264	12937.5	2023-10-11 15:40:41.8797	2023-10-11 15:40:43.0993	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_26_delphinidae_whistles
27	Spectrogram 1	1	F_D07_20231011_154400.WAV	F_D07_20231011_154400.WAV	610.844087905	612.063708519	4998.113	17462.264	15562.5	2023-10-11 15:44:10.8441	2023-10-11 15:44:12.0637	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_27_delphinidae_whistles
28	Spectrogram 1	1	F_D07_20231011_154400.WAV	F_D07_20231011_154400.WAV	617.12915971	618.348780323	4998.113	17462.264	6000	2023-10-11 15:44:17.1292	2023-10-11 15:44:18.3488	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_28_delphinidae_whistles
29	Spectrogram 1	1	F_D07_20231011_154400.WAV	F_D07_20231011_154400.WAV	621.011160402	622.230781016	5903.774	18367.925	12562.5	2023-10-11 15:44:21.0112	2023-10-11 15:44:22.2308	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_29_delphinidae_whistles
30	Spectrogram 1	1	F_D07_20231011_154400.WAV	F_D07_20231011_154400.WAV	625.035539051	626.255159665	6809.434	19273.585	12750	2023-10-11 15:44:25.0355	2023-10-11 15:44:26.2552	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_30_delphinidae_whistles
31	Spectrogram 1	1	F_D07_20231011_154400.WAV	F_D07_20231011_154400.WAV	632.230326051	633.486106977	4998.113	24633.962	12750	2023-10-11 15:44:32.2303	2023-10-11 15:44:33.4861	1.2558	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_31_delphinidae_whistles
32	Spectrogram 1	1	F_D07_20231011_154400.WAV	F_D07_20231011_154400.WAV	633.202090547	634.421711161	6447.17	18911.321	15750	2023-10-11 15:44:33.2021	2023-10-11 15:44:34.4217	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_32_delphinidae_whistles
33	Spectrogram 1	1	F_D07_20231011_154400.WAV	F_D07_20231011_154400.WAV	635.661988013	636.881608627	8077.358	20541.509	12937.5	2023-10-11 15:44:35.662	2023-10-11 15:44:36.8816	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_33_delphinidae_whistles
34	Spectrogram 1	1	F_D07_20231011_154400.WAV	F_D07_20231011_154400.WAV	649.293665918	650.513286532	6084.906	18549.057	12750	2023-10-11 15:44:49.2937	2023-10-11 15:44:50.5133	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_34_delphinidae_whistles
35	Spectrogram 1	1	F_D07_20231011_160001.WAV	F_D07_20231011_160001.WAV	694.124985856	695.54366372	6701.887	19816.981	15562.5	2023-10-11 16:00:35.125	2023-10-11 16:00:36.5437	1.4187	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_35_delphinidae_whistles
36	Spectrogram 1	1	F_D07_20231011_160001.WAV	F_D07_20231011_160001.WAV	709.769386899	710.989007513	6809.434	19273.585	12937.5	2023-10-11 16:00:50.7694	2023-10-11 16:00:51.989	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_36_delphinidae_whistles
37	Spectrogram 1	1	F_D07_20231011_160801.WAV	F_D07_20231011_160801.WAV	724.216635565	725.436256179	6990.566	19454.717	14062.5	2023-10-11 16:08:06.2166	2023-10-11 16:08:07.4363	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_37_delphinidae_whistles
38	Spectrogram 1	1	F_D07_20231011_160801.WAV	F_D07_20231011_160801.WAV	726.862306533	728.081927147	6990.566	19454.717	18562.5	2023-10-11 16:08:08.8623	2023-10-11 16:08:10.0819	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_38_delphinidae_whistles
39	Spectrogram 1	1	F_D07_20231011_160801.WAV	F_D07_20231011_160801.WAV	733.277760835	777.876430728	12864	35520	23437.5	2023-10-11 16:08:15.2778	2023-10-11 16:08:59.8764	44.5987	clicks	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_39_delphinidae_clicks
40	Spectrogram 1	1	F_D07_20231011_160801.WAV	F_D07_20231011_160801.WAV	733.315465951	734.535086565	6809.434	19273.585	14062.5	2023-10-11 16:08:15.3155	2023-10-11 16:08:16.5351	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_40_delphinidae_whistles
41	Spectrogram 1	1	F_D07_20231011_160801.WAV	F_D07_20231011_160801.WAV	737.869235863	739.088856477	8077.358	20541.509	15375	2023-10-11 16:08:19.8692	2023-10-11 16:08:21.0889	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_41_delphinidae_whistles
42	Spectrogram 1	1	F_D07_20231011_160801.WAV	F_D07_20231011_160801.WAV	767.648494843	768.868115457	7533.962	19998.113	10500	2023-10-11 16:08:49.6485	2023-10-11 16:08:50.8681	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_42_delphinidae_whistles
43	Spectrogram 1	1	F_D07_20231011_160801.WAV	F_D07_20231011_160801.WAV	768.395573907	769.61519452	4816.981	17281.132	10500	2023-10-11 16:08:50.3956	2023-10-11 16:08:51.6152	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_43_delphinidae_whistles
44	Spectrogram 1	1	F_D07_20231011_160801.WAV	F_D07_20231011_160801.WAV	770.367188578	771.586809191	7171.698	19635.849	18562.5	2023-10-11 16:08:52.3672	2023-10-11 16:08:53.5868	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_44_delphinidae_whistles
