Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Delta Time (s)	Begin Date Time	End Date Time	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	signalType	species	quality	deploymentType	deploymentID	selectionID
1	Spectrogram 1	1	B_D02_20220517_135900.WAV	B_D02_20220517_135900.WAV	1.449970036	54.332136794	52.8822	2022-05-17 13:59:01.4500	2022-05-17 13:59:54.3321	5052.632	192000	50250	clicks	Globicephala melas | Tursiops truncatus	high	boat_based_surveys	B_D02	B_D02_sel_01_turTru-gloMel-mixed_clicks
2	Spectrogram 1	1	B_D02_20220517_135900.WAV	B_D02_20220517_135900.WAV	10.799475042	11.256046665	0.4566	2022-05-17 13:59:10.7995	2022-05-17 13:59:11.2560	5526.316	26526.316	23250	whistles	Globicephala melas | Tursiops truncatus	low	boat_based_surveys	B_D02	B_D02_sel_02_turTru-gloMel-mixed_whistles
3	Spectrogram 1	1	B_D02_20220517_135900.WAV	B_D02_20220517_135900.WAV	11.760678459	12.217250082	0.4566	2022-05-17 13:59:11.7607	2022-05-17 13:59:12.2173	6789.474	27157.895	21000	whistles	Globicephala melas | Tursiops truncatus	low	boat_based_surveys	B_D02	B_D02_sel_03_turTru-gloMel-mixed_whistles
4	Spectrogram 1	1	B_D02_20220517_140300.WAV	B_D02_20220517_140700.WAV	57.462664459	239.829435175	182.3668	2022-05-17 14:03:02.4627	2022-05-17 14:07:19.8294	4736.842	192000	50250	clicks	Globicephala melas | Tursiops truncatus	high	boat_based_surveys	B_D02	B_D02_sel_04_turTru-gloMel-mixed_clicks
5	Spectrogram 1	1	B_D02_20220517_140300.WAV	B_D02_20220517_140300.WAV	107.529344697	107.98591632	0.4566	2022-05-17 14:03:52.5293	2022-05-17 14:03:52.9859	5526.316	17210.526	16500	whistles	Globicephala melas | Tursiops truncatus	low	boat_based_surveys	B_D02	B_D02_sel_05_turTru-gloMel-mixed_whistles
6	Spectrogram 1	1	B_D02_20220517_140300.WAV	B_D02_20220517_140300.WAV	108.887044523	109.643992214	0.7569	2022-05-17 14:03:53.8870	2022-05-17 14:03:54.6440	4894.737	23052.632	20250	whistles	Globicephala melas | Tursiops truncatus	low	boat_based_surveys	B_D02	B_D02_sel_06_turTru-gloMel-mixed_whistles
7	Spectrogram 1	1	B_D02_20220517_140400.WAV	B_D02_20220517_140400.WAV	112.090619033	112.547190656	0.4566	2022-05-17 14:04:02.0905	2022-05-17 14:04:02.5472	5526.316	17210.526	16500	whistles	Globicephala melas | Tursiops truncatus	low	boat_based_surveys	B_D02	B_D02_sel_07_turTru-gloMel-mixed_whistles
8	Spectrogram 1	1	B_D02_20220517_140400.WAV	B_D02_20220517_140400.WAV	113.05182245	113.608519429	0.5567	2022-05-17 14:04:03.0518	2022-05-17 14:04:03.6085	4894.737	30947.368	23250	whistles	Globicephala melas | Tursiops truncatus	medium	boat_based_surveys	B_D02	B_D02_sel_08_turTru-gloMel-mixed_whistles
9	Spectrogram 1	1	B_D02_20220517_140400.WAV	B_D02_20220517_140400.WAV	113.608519429	114.117156237	0.5086	2022-05-17 14:04:03.6085	2022-05-17 14:04:04.1172	4578.947	39000	23250	whistles	Globicephala melas | Tursiops truncatus	medium	boat_based_surveys	B_D02	B_D02_sel_09_turTru-gloMel-mixed_whistles
10	Spectrogram 1	1	B_D02_20220517_140400.WAV	B_D02_20220517_140400.WAV	114.932267673	115.981581404	1.0493	2022-05-17 14:04:04.9323	2022-05-17 14:04:05.9816	4105.263	31421.053	23250	whistles	Globicephala melas | Tursiops truncatus	low	boat_based_surveys	B_D02	B_D02_sel_10_turTru-gloMel-mixed_whistles
11	Spectrogram 1	1	B_D02_20220517_140400.WAV	B_D02_20220517_140400.WAV	116.818629379	118.212374334	1.3937	2022-05-17 14:04:06.8186	2022-05-17 14:04:08.2124	4105.263	22578.947	22500	whistles	Globicephala melas | Tursiops truncatus	low	boat_based_surveys	B_D02	B_D02_sel_11_turTru-gloMel-mixed_whistles
12	Spectrogram 1	1	B_D02_20220517_140400.WAV	B_D02_20220517_140400.WAV	126.313835568	127.090808331	0.777	2022-05-17 14:04:16.3138	2022-05-17 14:04:17.0908	3789.474	31421.053	20250	whistles	Globicephala melas | Tursiops truncatus	medium	boat_based_surveys	B_D02	B_D02_sel_12_turTru-gloMel-mixed_whistles
13	Spectrogram 1	1	B_D02_20220517_140400.WAV	B_D02_20220517_140400.WAV	131.487877083	132.384467795	0.8966	2022-05-17 14:04:21.4879	2022-05-17 14:04:22.3845	9315.789	21000	20250	whistles	Globicephala melas | Tursiops truncatus	low	boat_based_surveys	B_D02	B_D02_sel_13_turTru-gloMel-mixed_whistles
14	Spectrogram 1	1	B_D02_20220517_140400.WAV	B_D02_20220517_140400.WAV	134.086066369	135.728122206	1.6421	2022-05-17 14:04:24.0860	2022-05-17 14:04:25.7281	5052.632	36473.684	22500	whistles	Globicephala melas | Tursiops truncatus	medium	boat_based_surveys	B_D02	B_D02_sel_14_turTru-gloMel-mixed_whistles
15	Spectrogram 1	1	B_D02_20220517_140400.WAV	B_D02_20220517_140400.WAV	144.897229214	145.566066592	0.6688	2022-05-17 14:04:34.8972	2022-05-17 14:04:35.5661	5684.211	29210.526	20250	whistles	Globicephala melas | Tursiops truncatus	low	boat_based_surveys	B_D02	B_D02_sel_15_turTru-gloMel-mixed_whistles
16	Spectrogram 1	1	B_D02_20220517_140400.WAV	B_D02_20220517_140400.WAV	145.846417589	146.343039354	0.4966	2022-05-17 14:04:35.8464	2022-05-17 14:04:36.3430	6631.579	30789.474	21750	whistles	Globicephala melas | Tursiops truncatus	low	boat_based_surveys	B_D02	B_D02_sel_16_turTru-gloMel-mixed_whistles
17	Spectrogram 1	1	B_D02_20220517_140400.WAV	B_D02_20220517_140400.WAV	149.183850596	150.833916462	1.6501	2022-05-17 14:04:39.1839	2022-05-17 14:04:40.8339	5368.421	18631.579	16500	whistles	Globicephala melas | Tursiops truncatus	low	boat_based_surveys	B_D02	B_D02_sel_17_turTru-gloMel-mixed_whistles
18	Spectrogram 1	1	B_D02_20220517_140500.WAV	B_D02_20220517_140500.WAV	180.911009286	181.635916863	0.7249	2022-05-17 14:05:15.9110	2022-05-17 14:05:16.6359	11052.632	26526.316	23250	whistles	Globicephala melas | Tursiops truncatus	medium	boat_based_surveys	B_D02	B_D02_sel_18_turTru-gloMel-mixed_whistles
19	Spectrogram 1	1	B_D02_20220517_140700.WAV	B_D02_20220517_140800.WAV	251.355243529	329.732345584	78.3771	2022-05-17 14:07:31.3552	2022-05-17 14:08:54.7323	5052.632	192000	50250	clicks	Globicephala melas | Tursiops truncatus	high	boat_based_surveys	B_D02	B_D02_sel_19_turTru-gloMel-mixed_clicks
