Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Delta Time (s)	Begin Date Time	End Date Time	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	signalType	species	quality	deploymentType	deploymentID	selectionID
1	Spectrogram 1	1	B_D19_20240618_091700.WAV	B_D19_20240618_092700.WAV	24.0559000968933	602.890500068665	578.834599971771	2024-06-18 09:17:24.0559	2024-06-18 09:27:52.8905	2237.942	24000	23625	clicks	Globicephala melas	high	boat_based_surveys	B_D19	B_D19_sel_01_gloMel_clicks
2	Spectrogram 1	1	B_D19_20240618_091700.WAV	B_D19_20240618_091700.WAV	29.858099937439	31.0583000183105	1.20020008087158	2024-06-18 09:17:29.8581	2024-06-18 09:17:31.0583	1080.386	24000	9562.5	whistles	Globicephala melas	high	boat_based_surveys	B_D19	B_D19_sel_02_gloMel_whistles
3	Spectrogram 1	1	B_D19_20240618_091700.WAV	B_D19_20240618_091700.WAV	40.5601999759674	42.9454998970032	2.38529992103577	2024-06-18 09:17:40.5602	2024-06-18 09:17:42.9455	4398.714	17672.026	7875	whistles	Globicephala melas	medium	boat_based_surveys	B_D19	B_D19_sel_03_gloMel_whistles
4	Spectrogram 1	1	B_D19_20240618_091700.WAV	B_D19_20240618_091700.WAV	49.0060000419617	51.3913998603821	2.38539981842041	2024-06-18 09:17:49.0060	2024-06-18 09:17:51.3914	6212.219	19909.968	9093.75	whistles	Globicephala melas	high	boat_based_surveys	B_D19	B_D19_sel_04_gloMel_whistles
5	Spectrogram 1	1	B_D19_20240618_091800.WAV	B_D19_20240618_091800.WAV	72.3761999607086	74.7614998817444	2.38529992103577	2024-06-18 09:18:17.3762	2024-06-18 09:18:19.7615	6327.974	19678.457	16781.25	whistles	Globicephala melas	low	boat_based_surveys	B_D19	B_D19_sel_05_gloMel_whistles
6	Spectrogram 1	1	B_D19_20240618_091800.WAV	B_D19_20240618_091800.WAV	87.8164000511169	90.2017998695374	2.38539981842041	2024-06-18 09:18:32.8164	2024-06-18 09:18:35.2018	4018.636	21061.224	16687.5	whistles	Globicephala melas	low	boat_based_surveys	B_D19	B_D19_sel_06_gloMel_whistles
7	Spectrogram 1	1	B_D19_20240618_091800.WAV	B_D19_20240618_091800.WAV	93.8770999908447	96.4107999801636	2.53369998931885	2024-06-18 09:18:38.8771	2024-06-18 09:18:41.4108	4510.638	19829.787	16593.75	whistles	Globicephala melas	low	boat_based_surveys	B_D19	B_D19_sel_07_gloMel_whistles
8	Spectrogram 1	1	B_D19_20240618_091800.WAV	B_D19_20240618_091800.WAV	105.50820016861	109.987499952316	4.47929978370667	2024-06-18 09:18:50.5082	2024-06-18 09:18:54.9875	2285.714	24000	16687.5	whistles	Globicephala melas	low	boat_based_surveys	B_D19	B_D19_sel_08_gloMel_whistles
9	Spectrogram 1	1	B_D19_20240618_091900.WAV	B_D19_20240618_091900.WAV	140.947299957275	143.120100021362	2.17280006408691	2024-06-18 09:19:30.9473	2024-06-18 09:19:33.1201	5787.234	20510.638	16687.5	whistles	Globicephala melas	low	boat_based_surveys	B_D19	B_D19_sel_09_gloMel_whistles
10	Spectrogram 1	1	B_D19_20240618_091900.WAV	B_D19_20240618_091900.WAV	146.204999923706	148.59030008316	2.38530015945435	2024-06-18 09:19:36.2050	2024-06-18 09:19:38.5903	7202.31	20552.792	13593.75	whistles	Globicephala melas	low	boat_based_surveys	B_D19	B_D19_sel_10_gloMel_whistles
11	Spectrogram 1	1	B_D19_20240618_092000.WAV	B_D19_20240618_092000.WAV	176.286499977112	177.664499998093	1.37800002098083	2024-06-18 09:20:11.2865	2024-06-18 09:20:12.6645	5735.416	13203.36	9750	whistles	Globicephala melas	low	boat_based_surveys	B_D19	B_D19_sel_11_gloMel_whistles
12	Spectrogram 1	1	B_D19_20240618_092000.WAV	B_D19_20240618_092000.WAV	178.491600036621	181.106699943542	2.61509990692139	2024-06-18 09:20:13.4916	2024-06-18 09:20:16.1067	4590.065	20816.327	16593.75	whistles	Globicephala melas	low	boat_based_surveys	B_D19	B_D19_sel_12_gloMel_whistles
13	Spectrogram 1	1	B_D19_20240618_092000.WAV	B_D19_20240618_092000.WAV	181.357500076294	183.501299858093	2.14379978179932	2024-06-18 09:20:16.3575	2024-06-18 09:20:18.5013	2127.66	20851.064	20250	whistles	Globicephala melas	low	boat_based_surveys	B_D19	B_D19_sel_13_gloMel_whistles
14	Spectrogram 1	1	B_D19_20240618_092000.WAV	B_D19_20240618_092000.WAV	185.536000013351	187.790899991989	2.2548999786377	2024-06-18 09:20:20.5360	2024-06-18 09:20:22.7909	7829.787	19404.255	16687.5	whistles	Globicephala melas	low	boat_based_surveys	B_D19	B_D19_sel_14_gloMel_whistles
