audio_file,datetime_utc,observers,sonar_noise,signal,group_size,distance,fishing_net_type,ID_group,ID_sequence,behaviour,behavioural_event,activation_sequence,fishing_net,group_clustering,direction,speed,diving_time,special_observations
SCW1807_20200711_082400.wav,7/11/2020 8:24,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,1,DOL4,12,40,absent,1,1,travelling,active_surfacing,before,absent,compact,variable,slow,normal,group going away + 2 boats at 1 km (motor noise until 9:44)
SCW1807_20200711_082500.wav,7/11/2020 8:25,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,1,DOL4,12,40,absent,1,1,travelling,active_surfacing,before,absent,compact,variable,slow,normal,
SCW1807_20200711_082600.wav,7/11/2020 8:26,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,1,DOL4,12,40,absent,1,1,travelling,active_surfacing,before,absent,compact,variable,slow,normal,
SCW1807_20200711_082700.wav,7/11/2020 8:27,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,1,DOL4,15,100,absent,1,1,foraging,active_surfacing,before,absent,compact,variable,fast,normal,
SCW1807_20200711_083600.wav,7/11/2020 8:36,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,1,DOL4,4,5,absent,2,2,attracted,active_surfacing,before,absent,compact,variable,slow,normal,
SCW1807_20200711_123400.wav,7/11/2020 12:34,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL4,4,60,white_trawl_net,7,7,attracted,active_surfacing,before,present,compact,variable,slow,normal,
SCW1807_20200711_131500.wav,7/11/2020 13:15,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL3,3,20,white_trawl_net,8,8,attracted,active_surfacing,before,present,compact,variable,slow,normal,At the bow of the boat
SCW1807_20200712_090300.wav,7/12/2020 9:03,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL4,12,10,absent,10,9,attracted,active_surfacing,before,absent,scattered,variable,slow,normal,
SCW1807_20200712_090400.wav,7/12/2020 9:04,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL4,12,10,absent,10,9,attracted,active_surfacing,before,absent,scattered,variable,slow,normal,
SCW1807_20200712_093900.wav,7/12/2020 9:39,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL3,15,10,white_trawl_net,11,10,attracted,active_surfacing,control,present,scattered,variable,slow,normal,At the bow of the boat
SCW1807_20200712_094000.wav,7/12/2020 9:40,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL3,15,10,white_trawl_net,11,10,attracted,active_surfacing,control,present,scattered,variable,slow,normal,Dolphins staying around the boat
SCW1807_20200712_094100.wav,7/12/2020 9:41,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL3,15,10,white_trawl_net,11,10,attracted,active_surfacing,control,present,scattered,variable,slow,normal,
SCW1807_20200712_094200.wav,7/12/2020 9:42,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL3,15,10,white_trawl_net,11,10,attracted,active_surfacing,control,present,scattered,variable,slow,normal,
SCW1807_20200712_094300.wav,7/12/2020 9:43,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL3,15,10,white_trawl_net,11,10,attracted,active_surfacing,control,present,scattered,variable,slow,normal,
SCW1807_20200712_094400.wav,7/12/2020 9:44,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL3,15,10,white_trawl_net,11,10,attracted,active_surfacing,control,present,scattered,variable,slow,normal,
SCW1807_20200712_100900.wav,7/12/2020 10:09,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL3,5,5,white_trawl_net,12,11,attracted,active_surfacing,control,present,scattered,variable,slow,normal,"A the bow of the boat, then leaving fast"
SCW1807_20200712_101000.wav,7/12/2020 10:10,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL3,5,10,white_trawl_net,12,11,travelling,active_surfacing,control,present,scattered,variable,slow,normal,
SCW1807_20200712_101100.wav,7/12/2020 10:11,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL3,5,10,white_trawl_net,12,11,travelling,active_surfacing,control,present,scattered,variable,slow,normal,
SCW1807_20200712_101200.wav,7/12/2020 10:12,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL3,5,10,white_trawl_net,12,11,travelling,active_surfacing,control,present,scattered,variable,slow,normal,
SCW1807_20200712_130900.wav,7/12/2020 13:09,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,0,DOL1,6,25,tramel,14,13,travelling,active_surfacing,control,present,scattered,variable,slow,normal,Group leaving while the fishing net is being set + 1-2 boats at 1 km (motor noise until 13:26)
SCW1807_20200712_132000.wav,7/12/2020 13:20,Sophier_Boyer/Bastien_Merigot/Eleonore_Meheust/Helene_Peltier,1,DOL1,6,30,tramel,15,14,travelling,active_surfacing,before,present,compact,continuous,slow,normal,
