audio_name,clicks
SCW1807_20200711_082400,122
SCW1807_20200711_082500,11
SCW1807_20200711_082600,12
SCW1807_20200711_082700,
SCW1807_20200711_083600,1153
SCW1807_20200711_123400,245
SCW1807_20200711_131500,34
SCW1807_20200712_090300,1149
SCW1807_20200712_090400,1460
SCW1807_20200712_093900,1244
SCW1807_20200712_094000,842
SCW1807_20200712_094100,585
SCW1807_20200712_094200,105
SCW1807_20200712_094300,56
SCW1807_20200712_094400,124
SCW1807_20200712_100900,1004
SCW1807_20200712_101000,737
SCW1807_20200712_101100,37
SCW1807_20200712_101200,0
SCW1807_20200712_130900,13
SCW1807_20200712_132000,284
SCW1807_20200712_132600,70
SCW1807_20200712_135500,36
SCW1807_20200712_135600,191
SCW1807_20200712_135700,176
SCW1807_20200712_135800,234
SCW1807_20200712_135900,51
SCW1807_20200712_140000,10
SCW1807_20200712_140100,9
SCW1807_20200712_140200,14
SCW1807_20200712_140300,16
SCW1807_20200712_140400,4
SCW1807_20200712_140500,66
SCW1807_20200712_140600,71
SCW1807_20200712_140700,450
SCW1807_20200712_140800,
SCW1807_20200712_142700,31
SCW1807_20200713_063700,1113
SCW1807_20200713_064100,334
SCW1807_20200713_064400,2598
SCW1807_20200713_064500,2131
SCW1807_20200713_064600,674
SCW1807_20200713_064800,3
SCW1807_20200713_064900,0
SCW1807_20200713_065000,37
SCW1807_20200713_071900,2308
SCW1807_20200713_072000,423
SCW1807_20200713_072100,11
SCW1807_20200713_072200,5
SCW1807_20200713_072300,0
SCW1807_20200713_073200,876
SCW1807_20200713_073300,1627
SCW1807_20200713_073400,331
SCW1807_20200713_073500,204
SCW1807_20200713_073600,1496
SCW1807_20200713_073700,122
SCW1807_20200713_073800,209
SCW1807_20200713_073900,308
SCW1807_20200713_074000,4
SCW1807_20200713_074100,6
SCW1807_20200713_074200,0
SCW1807_20200713_075400,104
SCW1807_20200713_081700,45
SCW1807_20200713_081800,107
SCW1807_20200713_081900,3
SCW1807_20200713_082000,4
SCW1807_20200713_082100,2
SCW1807_20200713_085200,25
SCW1807_20200713_085300,176
SCW1807_20200713_085400,131
SCW1807_20200713_085500,67
SCW1807_20200713_085600,60
SCW1807_20200713_085700,14
SCW1807_20200713_091400,33
SCW1807_20200713_091500,887
SCW1807_20200713_091600,47
SCW1807_20200713_091700,110
SCW1807_20200713_091800,4
SCW1807_20200713_091900,2
SCW1807_20200713_092200,41
SCW1807_20200713_092300,5
SCW1807_20200713_092400,171
SCW1807_20200713_092500,77
SCW1807_20200713_092600,48
SCW1807_20200713_092700,2
SCW1807_20200713_094500,45
SCW1807_20200713_094600,46
SCW1807_20200713_094700,0
SCW1807_20200713_094800,3
SCW1807_20200714_064200,225
SCW1807_20200714_064300,534
SCW1807_20200714_064400,15
SCW1807_20200714_085600,264
SCW1807_20200714_085700,210
SCW1807_20200714_085800,3
SCW1807_20200714_090200,121
SCW1807_20200714_090300,570
SCW1807_20200714_091000,45
SCW1807_20200714_091100,29
SCW1807_20200714_091200,10
SCW1807_20200716_063500,734
SCW1807_20200716_065500,6
SCW1807_20200716_082300,130
SCW1807_20200716_083200,52
SCW1807_20200716_093000,70
SCW1807_20200716_093100,144
SCW1807_20200716_093200,304
SCW1807_20200716_093300,655
SCW1807_20200716_093400,679
SCW1807_20200716_093500,261
SCW1807_20200716_093600,827
SCW1807_20200716_093700,508
SCW1807_20200716_093800,320
SCW1807_20200716_093900,157
SCW1807_20200716_094000,45
SCW1807_20200716_094100,113
SCW1807_20200716_094200,81
SCW1807_20200716_094300,18
SCW1807_20200716_094400,26
SCW1807_20200716_094500,17
SCW1807_20200716_095100,14
SCW1807_20200716_104600,242
SCW1807_20200717_083700,20
SCW1807_20200717_091700,2244
SCW1807_20200717_094100,4
SCW1807_20200717_094200,
SCW1807_20200717_094300,
SCW1807_20200717_094400,39
SCW1807_20200717_094500,70
SCW1807_20200717_094600,90
SCW1807_20200717_094700,114
SCW1807_20200717_094800,150
SCW1807_20200718_075300,134
SCW1807_20200718_075400,1140
SCW1807_20200718_075500,428
SCW1807_20200718_075600,175
SCW1807_20200718_075700,62
SCW1807_20200718_080600,2
SCW1807_20200718_085700,532
SCW6070_20210709_070500,468
