Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	1.354788753	1.704124432	6136.800	12067.300	0.3493	5930.500	-63.00	Whistle
2	Spectrogram 1	1	2.446043256	2.673951345	6019.500	13906.500	0.2279	7887.000	-56.17	Whistle
3	Spectrogram 1	1	2.742983257	2.927953632	3713.400	11439.300	0.1850	7725.900	-43.29	Whistle
4	Spectrogram 1	1	3.532940896	3.639160034	5550.500	8833.900	0.1062	3283.400	-50.09	Whistle
5	Spectrogram 1	1	6.665482175	6.762464866	4690.600	6566.800	0.0970	1876.200	-36.70	Whistle
6	Spectrogram 1	1	6.984139589	7.076504057	4768.700	7426.700	0.0924	2658.000	-47.45	Whistle
7	Spectrogram 1	1	7.168868525	7.917020715	3322.500	18488.600	0.7482	15166.100	-52.92	Whistle
8	Spectrogram 1	1	11.131534290	12.330429540	5428.000	22385.000	1.1989	16957.000	-48.34	Whistle
9	Spectrogram 1	1	14.791319800	15.036295300	5198.700	21801.900	0.2450	16603.200	-56.49	Whistle
10	Spectrogram 1	1	23.572797400	24.126984210	2853.400	5511.400	0.5542	2658.000	-56.49	Whistle
11	Spectrogram 1	1	30.463186390	31.391449300	4221.500	9811.100	0.9283	5589.600	-45.32	Whistle
12	Spectrogram 1	1	36.115318620	36.956408330	4260.600	15566.400	0.8411	11305.800	-51.63	Whistle
13	Spectrogram 1	1	40.581713540	41.533067560	4690.600	8716.600	0.9514	4026.000	-44.48	Whistle
14	Spectrogram 1	1	46.659295210	47.444393190	4925.100	8403.900	0.7851	3478.800	-50.61	Whistle
15	Spectrogram 1	1	53.731276660	54.214708380	3185.000	22319.200	0.4834	19134.200	-44.14	Whistle
16	Spectrogram 1	1	54.256272390	54.718094730	3791.500	23820.600	0.4618	20029.100	-36.01	Whistle
17	Spectrogram 1	1	54.870496100	55.327700210	3087.900	23910.300	0.4572	20822.400	-32.47	Whistle
18	Spectrogram 1	1	66.928675930	67.413589380	4690.600	11765.500	0.4849	7074.900	-45.48	Whistle
19	Spectrogram 1	1	67.940066850	68.312926900	5706.800	14220.600	0.3729	8513.800	-55.04	Whistle
20	Spectrogram 1	1	70.364633980	70.674054940	5785.000	12820.800	0.3094	7035.800	-55.14	Whistle
21	Spectrogram 1	1	70.747946520	71.154350180	6019.500	12586.300	0.4064	6566.800	-49.89	Whistle
22	Spectrogram 1	1	71.177441290	71.620790740	5863.200	15791.500	0.4433	9928.300	-47.00	Whistle
23	Spectrogram 1	1	71.657736530	72.165741100	5824.100	19973.900	0.5080	14149.800	-46.08	Whistle
24	Spectrogram 1	1	75.670971670	75.948065070	5902.300	10123.800	0.2771	4221.500	-44.74	Whistle
25	Spectrogram 1	1	76.645416800	77.315059200	4573.300	18136.800	0.6696	13563.500	-39.88	Whistle
26	Spectrogram 1	1	78.257176770	78.945292050	4104.200	13837.100	0.6881	9732.900	-45.30	Whistle
27	Spectrogram 1	1	80.418505160	80.760253690	5863.200	13563.500	0.3417	7700.300	-49.94	Whistle
28	Spectrogram 1	1	80.824908820	81.513024110	4299.700	19504.900	0.6881	15205.200	-43.99	Whistle
29	Spectrogram 1	1	83.445726690	85.009019060	4575.700	17863.200	1.5633	13287.500	-47.92	Whistle
30	Spectrogram 1	1	85.320160440	86.103538000	4710.300	18019.500	0.7834	13309.200	-43.04	Whistle
31	Spectrogram 1	1	87.754134590	88.384940210	4717.900	17435.900	0.6308	12718.000	-47.36	Whistle
32	Spectrogram 1	1	88.491159340	88.629706040	6723.100	12390.900	0.1385	5667.800	-51.51	Whistle
33	Spectrogram 1	1	88.832907870	89.816589460	4416.900	12977.200	0.9837	8560.300	-54.64	Whistle
34	Spectrogram 1	1	89.876626360	90.024409510	5745.900	12312.700	0.1478	6566.800	-52.81	Whistle
35	Spectrogram 1	1	90.396599270	90.532414080	8615.400	11491.900	0.1358	2876.500	-44.15	Whistle
36	Spectrogram 1	1	91.104488900	91.243620330	7466.700	11687.300	0.1391	4220.600	-43.28	Whistle
37	Spectrogram 1	1	91.345221250	91.857844040	4456.000	18488.600	0.5126	14032.600	-44.64	Whistle
38	Spectrogram 1	1	92.823052730	92.956981210	5667.800	12195.400	0.1339	6527.600	-52.21	Whistle
39	Spectrogram 1	1	93.755933860	94.670342090	4534.200	17042.300	0.9144	12508.100	-40.45	Whistle
40	Spectrogram 1	1	95.342129510	96.166646310	5159.600	20676.900	0.8245	15517.300	-41.80	Whistle
41	Spectrogram 1	1	100.032098300	101.186654200	5394.100	13407.200	1.1546	8013.100	-51.87	Whistle
42	Spectrogram 1	1	106.585938000	107.596747900	6215.000	22235.900	1.0108	16020.900	-50.78	Whistle
43	Spectrogram 1	1	114.186951600	114.907394400	2032.600	7465.800	0.7204	5433.200	-53.70	Whistle
44	Spectrogram 1	1	117.174941900	117.525926900	3674.300	16964.200	0.3510	13289.900	-57.57	Whistle
45	Spectrogram 1	1	125.344578800	125.686327300	5316.000	16299.700	0.3417	10983.700	-51.69	Whistle
46	Spectrogram 1	1	125.968039000	126.305169300	3713.400	7035.800	0.3371	3322.400	-57.85	Whistle
47	Spectrogram 1	1	126.859356100	127.105039900	2697.100	9928.200	0.2457	7231.100	-51.33	Whistle
48	Spectrogram 1	1	127.735352600	128.526534700	2502.600	14697.100	0.7912	12194.500	-52.71	Whistle
49	Spectrogram 1	1	129.140758300	129.842728200	5042.300	10866.400	0.7020	5824.100	-59.49	Whistle
50	Spectrogram 1	1	138.996046500	139.707252900	2853.400	7035.800	0.7112	4182.400	-50.75	Whistle
51	Spectrogram 1	1	139.744198700	140.099175700	3517.900	13374.400	0.3550	9856.500	-49.84	Whistle
52	Spectrogram 1	1	174.306980400	174.690292900	9615.600	12156.400	0.3833	2540.800	-61.26	Whistle
53	Spectrogram 1	1	180.010486000	181.238933400	7583.100	18133.300	1.2284	10550.200	-61.91	Whistle
54	Spectrogram 1	1	188.023103200	188.734309600	8052.100	15596.100	0.7112	7544.000	-60.72	Whistle
55	Spectrogram 1	1	188.914420400	190.249086900	10905.500	21615.600	1.3347	10710.100	-51.47	Whistle
56	Spectrogram 1	1	212.555105000	212.788753000	9068.400	18051.300	0.2336	8982.900	-51.03	Whistle
57	Spectrogram 1	1	233.096961900	233.337109500	6175.900	11140.100	0.2401	4964.200	-56.29	Whistle
58	Spectrogram 1	1	237.207180400	237.839877000	6175.900	15205.200	0.6327	9029.300	-65.19	Whistle
59	Spectrogram 1	1	240.453791400	240.680084400	5276.900	7778.500	0.2263	2501.600	-64.01	Whistle
60	Spectrogram 1	1	243.848622400	244.711792200	5081.400	22194.900	0.8632	17113.500	-47.65	Whistle
61	Spectrogram 1	1	247.305645000	248.041531300	4026.100	21210.300	0.7359	17184.200	-51.53	Whistle
62	Spectrogram 1	1	252.706939800	253.860492500	5628.700	21333.300	1.1536	15704.600	-56.00	Whistle
63	Spectrogram 1	1	276.023345600	276.392803500	5276.900	8755.700	0.3695	3478.800	-66.67	Whistle
64	Spectrogram 1	1	277.143669900	277.491940600	5292.300	9682.100	0.3483	4389.800	-65.76	Whistle
65	Spectrogram 1	1	279.357702700	279.671741900	6645.000	10202.000	0.3140	3557.000	-65.72	Whistle
66	Spectrogram 1	1	279.685596600	280.101236700	4886.000	10710.100	0.4156	5824.100	-64.88	Whistle
67	Spectrogram 1	1	293.114818400	293.861494000	5251.300	19405.100	0.7467	14153.800	-58.55	Whistle
68	Spectrogram 1	1	294.079679200	294.828750500	6840.400	17559.000	0.7491	10718.600	-63.02	Whistle
69	Spectrogram 1	1	297.628824400	298.911259800	3791.500	16738.500	1.2824	12947.000	-62.89	Whistle
70	Spectrogram 1	1	323.908009500	324.252257200	8410.300	10994.900	0.3442	2584.600	-58.85	Whistle
71	Spectrogram 1	1	324.785598700	324.955298200	9066.700	11569.200	0.1697	2502.500	-55.79	Whistle
72	Spectrogram 1	1	325.333485800	325.507606400	6810.300	11609.100	0.1741	4798.800	-58.61	Whistle
73	Spectrogram 1	1	327.881373100	328.388078000	5276.900	17805.100	0.5067	12528.200	-57.26	Whistle
74	Spectrogram 1	1	329.059020100	329.280212900	6254.100	13169.200	0.2212	6915.100	-51.92	Whistle
75	Spectrogram 1	1	329.617825100	329.714807800	6136.800	11491.900	0.0970	5355.100	-44.55	Whistle
76	Spectrogram 1	1	330.075029200	330.241285200	7309.400	10749.200	0.1663	3439.800	-42.95	Whistle
77	Spectrogram 1	1	331.497441900	331.631370300	9068.400	10749.200	0.1339	1680.800	-41.93	Whistle
78	Spectrogram 1	1	332.328722100	332.462650500	8286.600	11843.600	0.1339	3557.000	-47.62	Whistle
79	Spectrogram 1	1	333.053783100	333.256985000	7309.400	11374.600	0.2032	4065.200	-47.64	Whistle
80	Spectrogram 1	1	334.240666500	334.374595000	7465.800	11296.400	0.1339	3830.600	-45.67	Whistle
81	Spectrogram 1	1	370.842074300	371.099047900	3979.500	18461.500	0.2570	14482.000	-54.69	Whistle
82	Spectrogram 1	1	371.574380900	372.271732600	7035.800	14228.000	0.6974	7192.200	-53.59	Whistle
83	Spectrogram 1	1	372.299442000	372.673518100	2658.000	18215.400	0.3741	15557.400	-54.85	Whistle
84	Spectrogram 1	1	373.241559600	373.791128100	9654.700	15361.600	0.5496	5706.900	-48.03	Whistle
85	Spectrogram 1	1	373.877272300	374.257568700	6687.200	18566.800	0.3803	11879.600	-51.27	Whistle
86	Spectrogram 1	1	376.072530300	376.160276600	5785.000	7934.900	0.0877	2149.900	-58.10	Whistle
87	Spectrogram 1	1	376.238786400	376.377333100	6488.600	9420.200	0.1385	2931.600	-56.50	Whistle
88	Spectrogram 1	1	376.372714900	376.529734500	5237.800	9889.300	0.1570	4651.500	-58.25	Whistle
89	Spectrogram 1	1	376.718527900	378.173822000	6215.000	10789.700	1.4553	4574.700	-50.51	Whistle
90	Spectrogram 1	1	400.410565900	400.791623600	4534.200	15466.700	0.3811	10932.500	-66.26	Whistle
91	Spectrogram 1	1	402.239382200	402.532256300	3517.900	18584.600	0.2929	15066.700	-44.47	Whistle
92	Spectrogram 1	1	403.458593100	403.828051000	5472.300	16768.700	0.3695	11296.400	-43.19	Whistle
93	Spectrogram 1	1	404.691658800	405.185808700	5550.500	16533.300	0.4941	10982.800	-42.03	Whistle
94	Spectrogram 1	1	406.183344800	406.631312500	4416.900	21702.600	0.4480	17285.700	-50.59	Whistle
95	Spectrogram 1	1	409.794795300	410.464437700	5237.800	22514.700	0.6696	17276.900	-43.13	Whistle
96	Spectrogram 1	1	413.618684200	414.048178900	5628.700	14228.000	0.4295	8599.300	-46.91	Whistle
97	Spectrogram 1	1	414.833276900	415.240329600	5824.100	15794.900	0.4071	9970.800	-46.27	Whistle
98	Spectrogram 1	1	416.523546700	417.304026400	5433.200	20443.000	0.7805	15009.800	-47.04	Whistle
99	Spectrogram 1	1	421.460427200	422.042323300	3674.300	15283.400	0.5819	11609.100	-47.79	Whistle
100	Spectrogram 1	1	422.799711900	423.183024500	7778.500	13876.200	0.3833	6097.700	-46.07	Whistle
101	Spectrogram 1	1	430.054939800	430.923165800	8521.200	14384.400	0.8682	5863.200	-50.19	Whistle
102	Spectrogram 1	1	432.971510100	433.941221900	2953.800	21333.300	0.9697	18379.500	-44.90	Whistle
103	Spectrogram 1	1	435.846191600	436.063248100	7778.500	10280.100	0.2171	2501.600	-43.14	Whistle
104	Spectrogram 1	1	438.834182100	439.028147500	8599.300	10827.400	0.1940	2228.100	-42.81	Whistle
105	Spectrogram 1	1	440.556779300	440.695326000	8286.600	12586.300	0.1385	4299.700	-41.47	Whistle
106	Spectrogram 1	1	442.726810900	442.902836800	8246.200	10397.400	0.1760	2151.200	-45.31	Whistle
107	Spectrogram 1	1	445.267367000	445.480792500	7192.200	10789.700	0.2134	3597.500	-47.91	Whistle
108	Spectrogram 1	1	446.882026000	447.473550200	5743.600	16738.500	0.5915	10994.900	-56.82	Whistle
109	Spectrogram 1	1	447.567242100	447.890517700	8403.900	13680.800	0.3233	5276.900	-44.76	Whistle
110	Spectrogram 1	1	453.501659000	454.055845800	4456.000	22045.600	0.5542	17589.600	-53.43	Whistle
