Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
2	Spectrogram 1	1	67.217729870	68.014308920	4782.300	10405.900	0.7966	5623.600	-87.00	Whistle
3	Spectrogram 1	1	71.144590640	71.288957230	7394.800	9077.500	0.1444	1682.700	-91.20	Whistle
4	Spectrogram 1	1	71.524873370	71.852339050	9431.700	12310.000	0.3275	2878.300	-93.75	Whistle
5	Spectrogram 1	1	76.757286500	76.845314910	5136.500	8191.900	0.0880	3055.400	-91.84	Whistle
6	Spectrogram 1	1	76.908695360	77.317147180	3276.800	11690.000	0.4085	8413.200	-90.58	Whistle
7	Spectrogram 1	1	90.539021710	91.443953750	4605.200	17048.000	0.9049	12442.800	-82.70	Whistle
8	Spectrogram 1	1	113.591916500	114.384172100	4516.600	19970.500	0.7923	15453.900	-84.04	Whistle
9	Spectrogram 1	1	120.908840800	121.690533100	4959.400	10317.300	0.7817	5357.900	-81.99	Whistle
10	Spectrogram 1	1	134.982831800	135.560298200	4738.000	9608.900	0.5775	4870.900	-85.89	Whistle
11	Spectrogram 1	1	169.926606700	170.416044700	7970.500	12619.900	0.4894	4649.400	-97.24	Whistle
12	Spectrogram 1	1	183.916090500	184.102710700	7926.200	9963.100	0.1866	2036.900	-79.91	Whistle
13	Spectrogram 1	1	184.845670500	185.458348200	5402.200	19660.500	0.6127	14258.300	-90.16	Whistle
14	Spectrogram 1	1	186.130886700	186.863283100	3852.400	20369.000	0.7324	16516.600	-75.11	Whistle
15	Spectrogram 1	1	222.905649200	223.064100300	17756.500	21653.100	0.1585	3896.600	-103.15	Whistle
16	Spectrogram 1	1	223.088748200	223.296495300	14435.400	16472.300	0.2077	2036.900	-95.75	Whistle
17	Spectrogram 1	1	230.726095700	231.250745000	7793.400	12974.200	0.5246	5180.800	-88.60	Whistle
