Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File	Begin Date Time	Annotation
1	Spectrogram 1	1	0	0.637014963	6000	12872.299	0.637	6872.299	-77.36	Valencia_02_Combined_2017.wav	0	Whistle
2	Spectrogram 1	1	1.922341178	2.277976419	7772.727	9996.071	0.3556	2223.344	-70.82	Valencia_02_Combined_2017.wav	1.9223	Whistle
3	Spectrogram 1	1	2.795265226	3.285944877	6636.364	10954.545	0.4907	4318.182	-77.59	Valencia_02_Combined_2017.wav	2.7953	Whistle
4	Spectrogram 1	1	3.818987071	4.539092684	1933.202	9760.314	0.7201	7827.112	-69.46	Valencia_02_Combined_2017.wav	3.819	Bout
5	Spectrogram 1	1	8.832332925	9.359210256	6454.545	9545.455	0.5269	3090.909	-77.71	Valencia_02_Combined_2017.wav	8.8323	Whistle
6	Spectrogram 1	1	16.5805484	17.50703379	4409.091	8864.44	0.9265	4455.349	-81.08	Valencia_02_Combined_2017.wav	16.5805	Whistle
7	Spectrogram 1	1	24.23484147	24.44301849	7402.75	13545.455	0.2082	6142.705	-79.2	Valencia_02_Combined_2017.wav	24.2348	Whistle
8	Spectrogram 1	1	25.85521054	26.30567055	3409.091	12409.091	0.4505	9000	-68.53	Valencia_02_Combined_2017.wav	25.8552	Whistle
9	Spectrogram 1	1	27.26138457	27.8666917	6082.515	12318.182	0.6053	6235.667	-86.01	Valencia_02_Combined_2017.wav	27.2614	Whistle
10	Spectrogram 1	1	34.84077778	35.35961118	4136.364	15954.545	0.5188	11818.181	-78.7	Valencia_02_Combined_2017.wav	34.8408	Whistle
11	Spectrogram 1	1	42.1527091	42.75499397	4409.091	12158.9	0.6023	7749.809	-75.47	Valencia_02_Combined_2017.wav	42.1527	Whistle
12	Spectrogram 1	1	46.42166518	47.43117823	4290.766	19590.909	1.0095	15300.143	-69.62	Valencia_02_Combined_2017.wav	46.4217	Whistle
13	Spectrogram 1	1	50.90406419	51.86848476	5090.909	14051.081	0.9644	8960.172	-82.83	Valencia_02_Combined_2017.wav	50.9041	Whistle
14	Spectrogram 1	1	53.96232632	54.73906945	3973.5	12953.6	0.7767	8980.1	-76.85	Valencia_02_Combined_2017.wav	53.9623	Bout
15	Spectrogram 1	1	54.96605843	55.85024365	5409.091	13589.4	0.8842	8180.309	-82.17	Valencia_02_Combined_2017.wav	54.9661	Bout
16	Spectrogram 1	1	56.06807666	56.30537256	9045.455	16363.636	0.2373	7318.182	-86.7	Valencia_02_Combined_2017.wav	56.0681	Whistle
