Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File	Begin Date Time	File Offset (s)	Annotation
1	Spectrogram 1	1	111.718284878	112.993247578	7195.072	23852.156	1.2750	16657.084	-99.25	HICEAS020815-065123.wav	111.7183	51.7183	Whistle
2	Spectrogram 1	1	144.022910278	144.437172607	9659.138	15523.614	0.4143	5864.476	-102.69	HICEAS020815-065223.wav	144.0229	24.0229	Whistle
3	Spectrogram 1	1	292.622092917	294.049890263	9254.613	22760.148	1.4278	13505.535	-84.75	HICEAS020908-084843.wav	292.6221	2.3221	Bout
4	Spectrogram 1	1	294.327405803	294.544591878	11380.074	16472.325	0.2172	5092.251	-85.81	HICEAS020908-084843.wav	294.3274	4.0274	Whistle
5	Spectrogram 1	1	296.623948316	296.833090463	11911.439	18199.262	0.2091	6287.823	-85.35	HICEAS020908-084843.wav	296.6239	6.3240	Whistle
6	Spectrogram 1	1	297.054298502	298.164360664	11025.830	19660.517	1.1101	8634.687	-85.31	HICEAS020908-084843.wav	297.0543	6.7543	Whistle
7	Spectrogram 1	1	298.397645360	298.980830192	7571.956	22007.380	0.5832	14435.424	-84.74	HICEAS020908-084843.wav	298.3976	8.0976	Bout
8	Spectrogram 1	1	299.137686802	299.813376813	5579.336	19616.236	0.6757	14036.900	-84.87	HICEAS020908-084843.wav	299.1377	8.8377	Whistle
9	Spectrogram 1	1	300.513209374	301.265316709	5047.970	19439.114	0.7521	14391.144	-84.64	HICEAS020908-084843.wav	300.5132	10.2132	Whistle
10	Spectrogram 1	1	301.321624210	302.439730300	5756.458	19926.199	1.1181	14169.741	-85.10	HICEAS020908-084843.wav	301.3216	11.0216	Whistle
11	Spectrogram 1	1	302.492015837	303.236079242	5402.214	19394.834	0.7441	13992.620	-84.11	HICEAS020908-084843.wav	302.4920	12.1920	Whistle
12	Spectrogram 1	1	303.268254957	304.285811939	4870.849	20147.601	1.0176	15276.752	-83.53	HICEAS020908-084843.wav	303.2683	12.9682	Bout
13	Spectrogram 1	1	304.563328346	305.058029962	9431.734	19040.590	0.4947	9608.856	-83.61	HICEAS020908-084843.wav	304.5633	14.2633	Bout
14	Spectrogram 1	1	305.355655324	305.954928013	8767.528	19261.993	0.5993	10494.465	-85.84	HICEAS020908-084843.wav	305.3557	15.0556	Whistle
15	Spectrogram 1	1	307.829163402	308.537029128	6509.225	20191.882	0.7079	13682.657	-84.59	HICEAS020908-084843.wav	307.8292	17.5292	Whistle
16	Spectrogram 1	1	308.629545072	309.196642046	8988.930	16649.446	0.5671	7660.516	-85.42	HICEAS020908-084843.wav	308.6295	18.3295	Whistle
17	Spectrogram 1	1	312.308058964	312.971683083	5579.336	21963.100	0.6636	16383.764	-80.52	HICEAS020908-084843.wav	312.3081	22.0081	Bout
18	Spectrogram 1	1	313.060166299	313.663460952	8944.649	18022.140	0.6033	9077.491	-83.18	HICEAS020908-084843.wav	313.0602	22.7602	Whistle
19	Spectrogram 1	1	313.816295597	315.312466337	4915.129	22140.221	1.4962	17225.092	-80.18	HICEAS020908-084843.wav	313.8163	23.5163	Bout
20	Spectrogram 1	1	316.237519006	317.263119916	5667.897	22273.063	1.0256	16605.166	-82.53	HICEAS020908-084843.wav	316.2375	25.9375	Whistle
21	Spectrogram 1	1	317.685426173	318.361116185	5357.934	18907.749	0.6757	13549.815	-85.22	HICEAS020908-084843.wav	317.6854	27.3854	Whistle
22	Spectrogram 1	1	318.409379757	319.060937982	5357.934	20280.443	0.6516	14922.509	-84.04	HICEAS020908-084843.wav	318.4094	28.1094	Whistle
23	Spectrogram 1	1	320.295681906	321.277041209	8944.649	19970.480	0.9814	11025.831	-83.88	HICEAS020908-084843.wav	320.2957	29.9957	Whistle
24	Spectrogram 1	1	322.121653723	322.350905691	8634.686	17402.214	0.2293	8767.528	-85.02	HICEAS020908-084843.wav	322.1217	31.8216	Whistle
25	Spectrogram 1	1	322.487652479	323.344330887	8280.443	19217.712	0.8567	10937.269	-84.79	HICEAS020908-084843.wav	322.4877	32.1876	Bout
26	Spectrogram 1	1	323.493143568	324.225141080	7571.956	20324.723	0.7320	12752.767	-84.43	HICEAS020908-084843.wav	323.4931	33.1931	Bout
27	Spectrogram 1	1	324.876700173	325.644895365	6952.030	20723.247	0.7682	13771.217	-84.34	HICEAS020908-084843.wav	324.8767	34.5767	Bout
28	Spectrogram 1	1	326.236124125	326.855506635	6464.945	18686.347	0.6194	12221.402	-84.52	HICEAS020908-084843.wav	326.2361	35.9361	Whistle
29	Spectrogram 1	1	326.988231459	327.752404686	8856.089	18819.188	0.7642	9963.099	-84.52	HICEAS020908-084843.wav	326.9882	36.6882	Whistle
30	Spectrogram 1	1	328.468314341	329.562288646	10273.063	20723.247	1.0940	10450.184	-85.35	HICEAS020908-084843.wav	328.4683	38.1683	Bout
31	Spectrogram 1	1	329.662838622	330.169606130	12000.000	19837.638	0.5068	7837.638	-85.59	HICEAS020908-084843.wav	329.6628	39.3628	Bout
32	Spectrogram 1	1	330.656263817	332.168522414	5003.690	19926.199	1.5123	14922.509	-84.58	HICEAS020908-084843.wav	330.6563	40.3563	Whistle
33	Spectrogram 1	1	333.801452859	334.481164835	6199.262	20944.649	0.6797	14745.387	-84.09	HICEAS020908-084843.wav	333.8015	43.5015	Whistle
34	Spectrogram 1	1	334.505296621	334.975866450	9653.137	18154.982	0.4706	8501.845	-83.94	HICEAS020908-084843.wav	334.5053	44.2053	Whistle
35	Spectrogram 1	1	335.285557705	335.780259321	8369.004	18730.627	0.4947	10361.623	-86.15	HICEAS020908-084843.wav	335.2856	44.9856	Whistle
36	Spectrogram 1	1	336.093972541	336.222675400	6287.823	12664.207	0.1287	6376.384	-83.99	HICEAS020908-084843.wav	336.0940	45.7940	Whistle
37	Spectrogram 1	1	336.447905404	337.091419701	6730.627	18199.262	0.6435	11468.635	-84.21	HICEAS020908-084843.wav	336.4479	46.1479	Bout
38	Spectrogram 1	1	339.983212938	340.747386166	3719.557	20103.321	0.7642	16383.764	-79.44	HICEAS020908-084843.wav	339.9832	49.6832	Whistle
39	Spectrogram 1	1	340.779561881	341.455251892	6952.030	20856.089	0.6757	13904.059	-80.84	HICEAS020908-084843.wav	340.7796	50.4796	Bout
40	Spectrogram 1	1	341.917778660	342.364216703	12132.841	18332.103	0.4464	6199.262	-84.48	HICEAS020908-084843.wav	341.9178	51.6178	Whistle
41	Spectrogram 1	1	342.319975095	343.148499752	10494.465	19040.590	0.8285	8546.125	-84.83	HICEAS020908-084843.wav	342.3200	52.0200	Bout
