UniqueID,File,label,file_path,local_path,system_frequency
ECOSS_SSC_TESTING_2024_75,cetaceans_Delphinus delphis_sicily channel_44100_16_10_20.wav,Cetaceans_Delphinus_delphis,https://ssc.s4oceandata.eu/erddap/files/ecoss_db_testing_sounds_data/jfb-it/samples for training/cetaceans_Delphinus delphis_sicily channel_44100_16_10_20.wav,datasets\ECOSS_ANNOTATED\Cetaceans_Delphinus_delphis\cetaceans_Delphinus delphis_sicily channel_44100_16_10_20.wav,
ECOSS_SSC_TESTING_2024_76,cetaceans_Delphinus delphis_sicily channel_48000_16_10_1.wav,Cetaceans_Delphinus_delphis,https://ssc.s4oceandata.eu/erddap/files/ecoss_db_testing_sounds_data/jfb-it/samples for training/cetaceans_Delphinus delphis_sicily channel_48000_16_10_1.wav,datasets\ECOSS_ANNOTATED\Cetaceans_Delphinus_delphis\cetaceans_Delphinus delphis_sicily channel_48000_16_10_1.wav,
ECOSS_SSC_TESTING_2024_77,cetaceans_Delphinus delphis_sicily channel_48000_16_10_12.wav,Cetaceans_Delphinus_delphis,https://ssc.s4oceandata.eu/erddap/files/ecoss_db_testing_sounds_data/jfb-it/samples for training/cetaceans_Delphinus delphis_sicily channel_48000_16_10_12.wav,datasets\ECOSS_ANNOTATED\Cetaceans_Delphinus_delphis\cetaceans_Delphinus delphis_sicily channel_48000_16_10_12.wav,
ECOSS_SSC_TESTING_2024_78,cetaceans_Delphinus delphis_sicily channel_48000_16_10_2.wav,Cetaceans_Delphinus_delphis,https://ssc.s4oceandata.eu/erddap/files/ecoss_db_testing_sounds_data/jfb-it/samples for training/cetaceans_Delphinus delphis_sicily channel_48000_16_10_2.wav,datasets\ECOSS_ANNOTATED\Cetaceans_Delphinus_delphis\cetaceans_Delphinus delphis_sicily channel_48000_16_10_2.wav,
ECOSS_SSC_TESTING_2024_79,cetaceans_Delphinus delphis_sicily channel_48000_16_10_3.wav,Cetaceans_Delphinus_delphis,https://ssc.s4oceandata.eu/erddap/files/ecoss_db_testing_sounds_data/jfb-it/samples for training/cetaceans_Delphinus delphis_sicily channel_48000_16_10_3.wav,datasets\ECOSS_ANNOTATED\Cetaceans_Delphinus_delphis\cetaceans_Delphinus delphis_sicily channel_48000_16_10_3.wav,
ECOSS_SSC_TESTING_2024_80,cetaceans_Delphinus delphis_sicily channel_48000_16_10_4.wav,Cetaceans_Delphinus_delphis,https://ssc.s4oceandata.eu/erddap/files/ecoss_db_testing_sounds_data/jfb-it/samples for training/cetaceans_Delphinus delphis_sicily channel_48000_16_10_4.wav,datasets\ECOSS_ANNOTATED\Cetaceans_Delphinus_delphis\cetaceans_Delphinus delphis_sicily channel_48000_16_10_4.wav,
ECOSS_SSC_TESTING_2024_81,cetaceans_Delphinus delphis_sicily channel_48000_16_10_7.wav,Cetaceans_Delphinus_delphis,https://ssc.s4oceandata.eu/erddap/files/ecoss_db_testing_sounds_data/jfb-it/samples for training/cetaceans_Delphinus delphis_sicily channel_48000_16_10_7.wav,datasets\ECOSS_ANNOTATED\Cetaceans_Delphinus_delphis\cetaceans_Delphinus delphis_sicily channel_48000_16_10_7.wav,
ECOSS_SSC_TESTING_2024_82,cetaceans_Delphinus delphis_sicily channel_48000_16_10_13.wav,Cetaceans_Delphinus_delphis,https://ssc.s4oceandata.eu/erddap/files/ecoss_db_testing_sounds_data/jfb-it/samples for training/cetaceans_Delphinus delphis_sicily channel_48000_16_10_13.wav,datasets\ECOSS_ANNOTATED\Cetaceans_Delphinus_delphis\cetaceans_Delphinus delphis_sicily channel_48000_16_10_13.wav,
ECOSS_SSC_TESTING_2024_83,cetaceans_Orcinus orca_norway_44100_16_10_12.wav,Cetaceans_Orcinus_orca,https://ssc.s4oceandata.eu/erddap/files/ecoss_db_testing_sounds_data/jfb-it/samples for training/cetaceans_Orcinus orca_norway_44100_16_10_12.wav,datasets\ECOSS_ANNOTATED\Cetaceans_Orcinus_orca\cetaceans_Orcinus orca_norway_44100_16_10_12.wav,
ECOSS_SSC_TESTING_2024_84,cetacean_Globicephala melas_ligurian sea_44100_16_10_11.wav,Cetaceans_Globicephala_melas,https://ssc.s4oceandata.eu/erddap/files/ecoss_db_testing_sounds_data/jfb-it/samples for training/cetacean_Globicephala melas_ligurian sea_44100_16_10_11.wav,datasets\ECOSS_ANNOTATED\Cetaceans_Globicephala_melas\cetacean_Globicephala melas_ligurian sea_44100_16_10_11.wav,
