"Selection","View","Channel","Start_DateTime_ISO8601","End_DateTime_ISO8601","Low.Freq..Hz.","High.Freq..Hz.","Species","Detection_Confidence"
1,"Spectrogram 1",1,"2009-03-28T00:03:08-05:00","2009-03-28T00:03:11-05:00",70.7,174.2,"RIWH","Detected"
2,"Spectrogram 1",1,"2009-03-28T00:03:55-05:00","2009-03-28T00:03:58-05:00",83.3,197,"RIWH","Detected"
3,"Spectrogram 1",1,"2009-03-28T00:06:38-05:00","2009-03-28T00:06:41-05:00",75.8,151.5,"RIWH","Detected"
4,"Spectrogram 1",1,"2009-03-28T00:07:17-05:00","2009-03-28T00:07:21-05:00",75.8,214.6,"RIWH","Detected"
5,"Spectrogram 1",1,"2009-03-28T00:07:30-05:00","2009-03-28T00:07:33-05:00",40.4,171.7,"RIWH","Detected"
6,"Spectrogram 1",1,"2009-03-28T00:08:36-05:00","2009-03-28T00:08:39-05:00",116.2,209.6,"RIWH","Possibly_Detected"
7,"Spectrogram 1",1,"2009-03-28T00:09:06-05:00","2009-03-28T00:09:10-05:00",118.7,244.9,"RIWH","Detected"
8,"Spectrogram 1",1,"2009-03-28T00:09:24-05:00","2009-03-28T00:09:27-05:00",78.3,186.9,"RIWH","Detected"
9,"Spectrogram 1",1,"2009-03-28T00:09:27-05:00","2009-03-28T00:09:30-05:00",80.8,214.6,"RIWH","Detected"
10,"Spectrogram 1",1,"2009-03-28T00:09:08-05:00","2009-03-28T00:09:10-05:00",78.3,128.8,"RIWH","Possibly_Detected"
11,"Spectrogram 1",1,"2009-03-28T00:10:31-05:00","2009-03-28T00:10:34-05:00",83.3,184.3,"RIWH","Detected"
12,"Spectrogram 1",1,"2009-03-28T00:10:36-05:00","2009-03-28T00:10:39-05:00",83.3,239.9,"RIWH","Detected"
13,"Spectrogram 1",1,"2009-03-28T00:10:40-05:00","2009-03-28T00:10:44-05:00",88.4,247.5,"RIWH","Detected"
14,"Spectrogram 1",1,"2009-03-28T00:10:45-05:00","2009-03-28T00:10:47-05:00",118.7,250,"RIWH","Detected"
15,"Spectrogram 1",1,"2009-03-28T00:10:53-05:00","2009-03-28T00:10:56-05:00",83.3,275.3,"RIWH","Detected"
16,"Spectrogram 1",1,"2009-03-28T00:11:12-05:00","2009-03-28T00:11:14-05:00",80.8,202,"RIWH","Detected"
17,"Spectrogram 1",1,"2009-03-28T00:12:14-05:00","2009-03-28T00:12:17-05:00",78.3,179.3,"RIWH","Detected"
18,"Spectrogram 1",1,"2009-03-28T00:12:29-05:00","2009-03-28T00:12:31-05:00",85.9,199.5,"RIWH","Detected"
19,"Spectrogram 1",1,"2009-03-28T00:14:17-05:00","2009-03-28T00:14:21-05:00",85.9,262.6,"RIWH","Detected"
20,"Spectrogram 1",1,"2009-03-28T00:14:50-05:00","2009-03-28T00:14:52-05:00",83.3,232.3,"RIWH","Detected"
21,"Spectrogram 1",1,"2009-03-28T00:14:54-05:00","2009-03-28T00:14:57-05:00",88.4,252.5,"RIWH","Detected"
22,"Spectrogram 1",1,"2009-03-28T00:15:37-05:00","2009-03-28T00:15:40-05:00",116.2,262.6,"RIWH","Detected"
23,"Spectrogram 1",1,"2009-03-28T00:15:55-05:00","2009-03-28T00:15:56-05:00",156.6,260.1,"RIWH","Possibly_Detected"
24,"Spectrogram 1",1,"2009-03-28T00:16:54-05:00","2009-03-28T00:16:56-05:00",88.4,282.8,"RIWH","Detected"
25,"Spectrogram 1",1,"2009-03-28T00:17:41-05:00","2009-03-28T00:17:43-05:00",133.8,292.9,"RIWH","Detected"
26,"Spectrogram 1",1,"2009-03-28T00:19:22-05:00","2009-03-28T00:19:24-05:00",85.9,212.1,"RIWH","Detected"
27,"Spectrogram 1",1,"2009-03-28T00:19:30-05:00","2009-03-28T00:19:33-05:00",58.1,202,"RIWH","Detected"
28,"Spectrogram 1",1,"2009-03-28T00:20:23-05:00","2009-03-28T00:20:26-05:00",103.5,229.8,"RIWH","Possibly_Detected"
29,"Spectrogram 1",1,"2009-03-28T00:21:08-05:00","2009-03-28T00:21:10-05:00",108.6,176.8,"RIWH","Possibly_Detected"
30,"Spectrogram 1",1,"2009-03-28T00:21:27-05:00","2009-03-28T00:21:30-05:00",70.7,262.6,"RIWH","Detected"
31,"Spectrogram 1",1,"2009-03-28T00:21:33-05:00","2009-03-28T00:21:36-05:00",80.8,247.5,"RIWH","Detected"
32,"Spectrogram 1",1,"2009-03-28T00:21:39-05:00","2009-03-28T00:21:41-05:00",80.8,244.9,"RIWH","Detected"
33,"Spectrogram 1",1,"2009-03-28T00:21:55-05:00","2009-03-28T00:21:58-05:00",80.8,202,"RIWH","Detected"
34,"Spectrogram 1",1,"2009-03-28T00:22:27-05:00","2009-03-28T00:22:29-05:00",103.5,242.4,"RIWH","Detected"
35,"Spectrogram 1",1,"2009-03-28T00:22:48-05:00","2009-03-28T00:22:51-05:00",80.8,250,"RIWH","Detected"
36,"Spectrogram 1",1,"2009-03-28T00:22:53-05:00","2009-03-28T00:22:55-05:00",83.3,318.2,"RIWH","Detected"
37,"Spectrogram 1",1,"2009-03-28T00:22:58-05:00","2009-03-28T00:23:01-05:00",88.4,224.7,"RIWH","Detected"
38,"Spectrogram 1",1,"2009-03-28T00:23:04-05:00","2009-03-28T00:23:06-05:00",85.9,197,"RIWH","Detected"
39,"Spectrogram 1",1,"2009-03-28T00:23:16-05:00","2009-03-28T00:23:19-05:00",83.3,227.3,"RIWH","Detected"
40,"Spectrogram 1",1,"2009-03-28T00:23:21-05:00","2009-03-28T00:23:23-05:00",101,204.5,"RIWH","Detected"
41,"Spectrogram 1",1,"2009-03-28T00:23:24-05:00","2009-03-28T00:23:26-05:00",108.6,222.2,"RIWH","Detected"
42,"Spectrogram 1",1,"2009-03-28T00:23:48-05:00","2009-03-28T00:23:50-05:00",98.5,265.2,"RIWH","Detected"
43,"Spectrogram 1",1,"2009-03-28T00:24:01-05:00","2009-03-28T00:24:02-05:00",83.3,217.2,"RIWH","Detected"
44,"Spectrogram 1",1,"2009-03-28T00:24:03-05:00","2009-03-28T00:24:05-05:00",121.2,202,"RIWH","Detected"
45,"Spectrogram 1",1,"2009-03-28T00:24:22-05:00","2009-03-28T00:24:25-05:00",80.8,260.1,"RIWH","Possibly_Detected"
46,"Spectrogram 1",1,"2009-03-28T00:25:06-05:00","2009-03-28T00:25:09-05:00",88.4,239.9,"RIWH","Detected"
47,"Spectrogram 1",1,"2009-03-28T00:25:23-05:00","2009-03-28T00:25:27-05:00",83.3,252.5,"RIWH","Detected"
48,"Spectrogram 1",1,"2009-03-28T00:25:47-05:00","2009-03-28T00:25:50-05:00",75.8,295.5,"RIWH","Detected"
49,"Spectrogram 1",1,"2009-03-28T00:28:15-05:00","2009-03-28T00:28:18-05:00",101,237.4,"RIWH","Detected"
50,"Spectrogram 1",1,"2009-03-28T00:30:55-05:00","2009-03-28T00:30:57-05:00",126.3,242.4,"RIWH","Detected"
51,"Spectrogram 1",1,"2009-03-28T00:32:29-05:00","2009-03-28T00:32:31-05:00",96,224.7,"RIWH","Detected"
52,"Spectrogram 1",1,"2009-03-28T00:32:48-05:00","2009-03-28T00:32:50-05:00",90.9,186.9,"RIWH","Possibly_Detected"
53,"Spectrogram 1",1,"2009-03-28T00:33:53-05:00","2009-03-28T00:33:55-05:00",143.9,232.3,"RIWH","Possibly_Detected"
54,"Spectrogram 1",1,"2009-03-28T00:38:18-05:00","2009-03-28T00:38:20-05:00",83.333,138.889,"RIWH","Possibly_Detected"
55,"Spectrogram 1",1,"2009-03-28T00:39:12-05:00","2009-03-28T00:39:14-05:00",95.96,133.838,"RIWH","Possibly_Detected"
56,"Spectrogram 1",1,"2009-03-28T00:40:32-05:00","2009-03-28T00:40:34-05:00",136.364,196.97,"RIWH","Possibly_Detected"
57,"Spectrogram 1",1,"2009-03-28T00:41:10-05:00","2009-03-28T00:41:11-05:00",73.232,121.212,"RIWH","Possibly_Detected"
58,"Spectrogram 1",1,"2009-03-28T00:42:06-05:00","2009-03-28T00:42:08-05:00",80.808,217.172,"RIWH","Possibly_Detected"
59,"Spectrogram 1",1,"2009-03-28T00:43:42-05:00","2009-03-28T00:43:46-05:00",98.485,277.778,"RIWH","Detected"
60,"Spectrogram 1",1,"2009-03-28T00:43:47-05:00","2009-03-28T00:43:50-05:00",88.384,202.02,"RIWH","Detected"
62,"Spectrogram 1",1,"2009-03-28T00:43:25-05:00","2009-03-28T00:43:27-05:00",98.485,146.465,"RIWH","Possibly_Detected"
63,"Spectrogram 1",1,"2009-03-28T00:44:18-05:00","2009-03-28T00:44:20-05:00",80.808,164.141,"RIWH","Detected"
64,"Spectrogram 1",1,"2009-03-28T00:45:57-05:00","2009-03-28T00:45:59-05:00",75.758,146.465,"RIWH","Possibly_Detected"
65,"Spectrogram 1",1,"2009-03-28T00:46:05-05:00","2009-03-28T00:46:07-05:00",80.808,159.091,"RIWH","Possibly_Detected"
66,"Spectrogram 1",1,"2009-03-28T00:46:54-05:00","2009-03-28T00:46:58-05:00",88.384,199.495,"RIWH","Detected"
67,"Spectrogram 1",1,"2009-03-28T00:48:14-05:00","2009-03-28T00:48:16-05:00",93.434,138.889,"RIWH","Possibly_Detected"
68,"Spectrogram 1",1,"2009-03-28T00:52:15-05:00","2009-03-28T00:52:17-05:00",90.909,214.646,"RIWH","Detected"
69,"Spectrogram 1",1,"2009-03-28T00:52:49-05:00","2009-03-28T00:52:52-05:00",103.535,212.121,"RIWH","Detected"
70,"Spectrogram 1",1,"2009-03-28T00:52:54-05:00","2009-03-28T00:52:57-05:00",98.485,234.848,"RIWH","Detected"
71,"Spectrogram 1",1,"2009-03-28T00:53:55-05:00","2009-03-28T00:53:57-05:00",93.434,229.798,"RIWH","Detected"
72,"Spectrogram 1",1,"2009-03-28T00:54:01-05:00","2009-03-28T00:54:02-05:00",106.061,169.192,"RIWH","Detected"
73,"Spectrogram 1",1,"2009-03-28T00:54:04-05:00","2009-03-28T00:54:06-05:00",106.061,159.091,"RIWH","Detected"
74,"Spectrogram 1",1,"2009-03-28T00:54:17-05:00","2009-03-28T00:54:18-05:00",106.061,234.848,"RIWH","Detected"
75,"Spectrogram 1",1,"2009-03-28T00:54:26-05:00","2009-03-28T00:54:28-05:00",101.01,214.646,"RIWH","Detected"
76,"Spectrogram 1",1,"2009-03-28T00:54:38-05:00","2009-03-28T00:54:40-05:00",78.283,159.091,"RIWH","Detected"
77,"Spectrogram 1",1,"2009-03-28T00:54:40-05:00","2009-03-28T00:54:43-05:00",80.808,141.414,"RIWH","Detected"
78,"Spectrogram 1",1,"2009-03-28T00:54:58-05:00","2009-03-28T00:55:01-05:00",80.808,141.414,"RIWH","Possibly_Detected"
79,"Spectrogram 1",1,"2009-03-28T00:55:13-05:00","2009-03-28T00:55:15-05:00",101.01,232.323,"RIWH","Detected"
80,"Spectrogram 1",1,"2009-03-28T00:55:18-05:00","2009-03-28T00:55:20-05:00",101.01,156.566,"RIWH","Detected"
81,"Spectrogram 1",1,"2009-03-28T00:56:00-05:00","2009-03-28T00:56:03-05:00",90.909,227.273,"RIWH","Detected"
