ID,TARGET
20960,UDA
20961,UDA
20962,UDA
20963,UDA
20964,UDA
20965,UDA
20966,UDA
20967,UDA
20968,UDA
20969,UDA
20970,UDA
20971,UDA
20972,UDA
20973,UDA
20974,UDA
20975,UDA
20976,UDA
20977,UDA
20978,UDA
20979,UDA
20980,UDA
20981,UDA
20982,UDA
20983,UDA
20984,UDA
20985,UDA
20986,UDA
20987,UDA
20988,UDA
20989,UDA
20990,UDA
20991,UDA
20992,UDA
20993,UDA
20994,UDA
20995,UDA
20996,UDA
20997,UDA
20998,UDA
20999,UDA
21000,UDA
21001,UDA
21002,UDA
21003,UDA
21004,UDA
21005,UDA
21006,UDA
21007,UDA
21008,UDA
21009,UDA
21010,UDA
21011,UDA
21012,UDA
21013,UDA
21014,UDA
21015,UDA
21016,UDA
21017,UDA
21018,UDA
21019,UDA
21020,UDA
21021,UDA
21022,UDA
21023,UDA
21024,UDA
21025,UDA
21026,UDA
21027,UDA
21028,UDA
21029,UDA
21030,UDA
21031,UDA
21032,UDA
21033,UDA
21034,UDA
21035,UDA
21036,UDA
21037,UDA
21038,UDA
21039,UDA
21040,UDA
21041,UDA
21042,UDA
21043,UDA
21044,UDA
21045,UDA
21046,UDA
21047,UDA
21048,UDA
21049,UDA
21050,UDA
21051,UDA
21052,UDA
21053,UDA
21054,UDA
21055,UDA
21056,UDA
21057,UDA
21058,UDA
21059,UDA
21060,UDA
21061,UDA
21062,UDA
21063,UDA
21064,UDA
21065,UDA
21066,UDA
21067,UDA
21068,UDA
21069,UDA
21070,UDA
21071,UDA
21072,UDA
21073,UDA
21074,UDA
21075,UDA
21076,UDA
21077,UDA
21078,UDA
21079,UDA
21080,UDA
21081,UDA
21082,UDA
21083,UDA
21084,UDA
21085,UDA
21086,UDA
21087,UDA
21088,UDA
21089,UDA
21090,UDA
21091,UDA
21092,UDA
21093,UDA
21094,UDA
21095,UDA
21096,UDA
21097,UDA
21098,UDA
21099,UDA
21100,UDA
21101,UDA
21102,UDA
21103,UDA
21104,UDA
21105,UDA
21106,UDA
21107,UDA
21108,UDA
21109,UDA
21110,UDA
21111,UDA
21112,UDA
21113,UDA
21114,UDA
21115,UDA
21116,UDA
21117,UDA
21118,UDA
21119,UDA
21120,UDA
21121,UDA
21122,UDA
21123,UDA
21124,UDA
21125,UDA
21126,UDA
21127,UDA
21128,UDA
21129,UDA
21130,UDA
21131,UDA
21132,UDA
21133,UDA
21134,UDA
21135,UDA
21136,UDA
21137,UDA
21138,UDA
21139,UDA
21140,UDA
21141,UDA
21142,UDA
21143,UDA
21144,UDA
21145,UDA
21146,UDA
21147,UDA
21148,UDA
21149,UDA
21150,UDA
21151,UDA
21152,UDA
21153,UDA
21154,UDA
21155,UDA
21156,UDA
21157,UDA
21158,UDA
21159,UDA
21160,UDA
21161,UDA
21162,UDA
21163,UDA
21164,UDA
21165,UDA
21166,UDA
21167,UDA
21168,UDA
21169,UDA
21170,UDA
21171,UDA
21172,UDA
21173,UDA
21174,UDA
21175,UDA
21176,UDA
21177,UDA
21178,UDA
21179,UDA
21180,UDA
21181,UDA
21182,UDA
21183,UDA
21184,UDA
21185,UDA
21186,UDA
21187,UDA
21188,UDA
21189,UDA
21190,UDA
21191,UDA
21192,UDA
21193,UDA
21194,UDA
21195,UDA
21196,UDA
21197,UDA
21198,UDA
21199,UDA
21200,UDA
21201,UDA
21202,UDA
21203,UDA
21204,UDA
21205,UDA
21206,UDA
21207,UDA
21208,UDA
21209,UDA
21210,UDA
21211,UDA
21212,UDA
21213,UDA
21214,UDA
21215,UDA
21216,UDA
21217,UDA
21218,UDA
21219,UDA
21220,UDA
21221,UDA
21222,UDA
21223,UDA
21224,UDA
21225,UDA
21226,UDA
21227,UDA
21228,UDA
21229,UDA
21230,UDA
21231,UDA
21232,UDA
