Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File	Begin Date Time	File Offset (s)	Annotation
1	Spectrogram 1	1	2636.929042725	2637.303085410	3636.364	12272.727	0.3740	8636.363	-58.95	IMMS_TrainingData_02.wav	2636.9290	2636.9290	Whistle
2	Spectrogram 1	1	2649.445399040	2650.012496000	10227.273	14045.455	0.5671	3818.182	-72.29	IMMS_TrainingData_02.wav	2649.4454	2649.4454	Whistle
3	Spectrogram 1	1	2650.909394064	2651.106470000	8090.909	13909.091	0.1971	5818.182	-69.44	IMMS_TrainingData_02.wav	2650.9094	2650.9094	Whistle
4	Spectrogram 1	1	2651.202997462	2651.862599616	6318.182	13000.000	0.6596	6681.818	-66.67	IMMS_TrainingData_02.wav	2651.2030	2651.2030	Whistle
5	Spectrogram 1	1	2652.095873549	2653.165716000	5954.545	14318.182	1.0698	8363.637	-65.78	IMMS_TrainingData_02.wav	2652.0959	2652.0959	Whistle
6	Spectrogram 1	1	2666.715721745	2667.685015154	2818.182	9636.364	0.9693	6818.182	-49.95	IMMS_TrainingData_02.wav	2666.7157	2666.7157	Whistle
8	Spectrogram 1	1	2669.760348069	2671.670782000	3545.455	18590.909	1.9104	15045.454	-56.27	IMMS_TrainingData_02.wav	2669.7603	2669.7603	Whistle
9	Spectrogram 1	1	2672.430931000	2672.889435000	2590.909	16454.545	0.4585	13863.636	-49.58	IMMS_TrainingData_02.wav	2672.4309	2672.4309	Whistle
11	Spectrogram 1	1	2673.927101772	2674.361474000	4954.545	16045.455	0.4344	11090.910	-56.21	IMMS_TrainingData_02.wav	2673.9271	2673.9271	Whistle
12	Spectrogram 1	1	2679.911784093	2680.909233000	3363.636	17318.182	0.9974	13954.545	-56.66	IMMS_TrainingData_02.wav	2679.9118	2679.9118	Whistle
13	Spectrogram 1	1	2685.562648000	2685.719505000	4772.727	5772.727	0.1569	1000.000	-46.23	IMMS_TrainingData_02.wav	2685.5626	2685.5626	Whistle
14	Spectrogram 1	1	2687.477103000	2687.798860000	2409.091	4363.636	0.3218	1954.545	-33.77	IMMS_TrainingData_02.wav	2687.4771	2687.4771	Whistle
15	Spectrogram 1	1	2690.324655000	2690.843488000	3590.909	9772.727	0.5188	6181.818	-51.79	IMMS_TrainingData_02.wav	2690.3247	2690.3247	Whistle
16	Spectrogram 1	1	2690.875664000	2691.591574000	2863.636	9045.455	0.7159	6181.819	-37.91	IMMS_TrainingData_02.wav	2690.8757	2690.8757	Whistle
17	Spectrogram 1	1	2706.613614000	2706.766448000	4363.636	8181.818	0.1528	3818.182	-61.49	IMMS_TrainingData_02.wav	2706.6136	2706.6136	Whistle
18	Spectrogram 1	1	2708.202287849	2708.548176783	5863.636	8272.727	0.3459	2409.091	-63.06	IMMS_TrainingData_02.wav	2708.2023	2708.2023	Whistle
19	Spectrogram 1	1	2761.280164406	2761.400826000	12045.455	13000.000	0.1207	954.545	-61.81	IMMS_TrainingData_02.wav	2761.2802	2761.2802	Whistle
22	Spectrogram 1	1	2767.667048000	2767.827926000	6227.273	12636.364	0.1609	6409.091	-61.18	IMMS_TrainingData_02.wav	2767.6670	2767.6670	Whistle
23	Spectrogram 1	1	2856.620852121	2856.934565340	6681.818	10454.545	0.3137	3772.727	-67.84	IMMS_TrainingData_02.wav	2856.6209	2856.6209	Whistle
24	Spectrogram 1	1	2857.147729451	2857.268384000	7454.545	13272.727	0.1207	5818.182	-64.43	IMMS_TrainingData_02.wav	2857.1477	2857.1477	Whistle
27	Spectrogram 1	1	2884.058695462	2884.316101181	7000.000	8227.273	0.2574	1227.273	-68.42	IMMS_TrainingData_02.wav	2884.0587	2884.0587	Whistle
28	Spectrogram 1	1	2979.813647000	2980.915665000	5545.455	22090.909	1.1020	16545.454	-54.75	IMMS_TrainingData_02.wav	2979.8136	2979.8136	Whistle
29	Spectrogram 1	1	2981.905068000	2982.958823000	6318.182	21909.091	1.0538	15590.909	-47.38	IMMS_TrainingData_02.wav	2981.9051	2981.9051	Bout
30	Spectrogram 1	1	2983.316774719	2983.694842000	6636.364	10409.091	0.3781	3772.727	-56.22	IMMS_TrainingData_02.wav	2983.3168	2983.3168	Whistle
31	Spectrogram 1	1	2984.024640445	2984.225738663	5500.000	10454.545	0.2011	4954.545	-56.73	IMMS_TrainingData_02.wav	2984.0246	2984.0246	Whistle
32	Spectrogram 1	1	2984.507276168	2984.648049000	5818.182	10636.364	0.1408	4818.182	-55.07	IMMS_TrainingData_02.wav	2984.5073	2984.5073	Whistle
33	Spectrogram 1	1	2990.801655000	2990.930358000	7227.273	10818.182	0.1287	3590.909	-56.35	IMMS_TrainingData_02.wav	2990.8017	2990.8017	Whistle
34	Spectrogram 1	1	2991.268200410	2991.425057020	6409.091	10636.364	0.1569	4227.273	-54.25	IMMS_TrainingData_02.wav	2991.2682	2991.2682	Whistle
