Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File	Begin Date Time	File Offset (s)	Annotation
1	Spectrogram 1	1	1.942608783	2.775155404	8727.273	17272.727	0.8325	8545.454	-44.26	palmyra092007FS192-070924-205305.wav	1.9426	1.9426	Whistle
2	Spectrogram 1	1	5.264754076	5.711192120	10181.818	17545.455	0.4464	7363.637	-44.06	palmyra092007FS192-070924-205305.wav	5.2648	5.2648	Whistle
3	Spectrogram 1	1	5.944466052	6.366772310	5545.455	11636.364	0.4223	6090.909	-43.13	palmyra092007FS192-070924-205305.wav	5.9445	5.9445	Whistle
4	Spectrogram 1	1	6.366772310	7.698042511	6272.727	16090.909	1.3313	9818.182	-41.89	palmyra092007FS192-070924-205305.wav	6.3668	6.3668	Whistle
5	Spectrogram 1	1	9.033334676	9.556190042	6000.000	9272.727	0.5229	3272.727	-43.75	palmyra092007FS192-070924-205305.wav	9.0333	9.0333	Whistle
6	Spectrogram 1	1	9.037359377	9.246501524	10500.000	13090.909	0.2091	2590.909	-42.35	palmyra092007FS192-070924-205305.wav	9.0374	9.0374	Whistle
7	Spectrogram 1	1	9.898059749	10.083070110	10727.273	15409.091	0.1850	4681.818	-44.08	palmyra092007FS192-070924-205305.wav	9.8981	9.8981	Whistle
8	Spectrogram 1	1	10.859309230	11.442494061	11136.364	17181.818	0.5832	6045.454	-44.22	palmyra092007FS192-070924-205305.wav	10.8593	10.8593	Whistle
9	Spectrogram 1	1	11.060407448	11.197154236	8409.091	9954.545	0.1367	1545.454	-39.88	palmyra092007FS192-070924-205305.wav	11.0604	11.0604	Whistle
10	Spectrogram 1	1	11.583262814	12.910511051	6727.273	23818.182	1.3272	17090.909	-42.49	palmyra092007FS192-070924-205305.wav	11.5833	11.5833	Whistle
11	Spectrogram 1	1	13.519838650	15.347821449	6363.636	24000.000	1.8280	17636.364	-38.72	palmyra092007FS192-070924-205305.wav	13.5198	13.5198	Whistle
12	Spectrogram 1	1	15.914913987	17.533759076	6090.909	24000.000	1.6188	17909.091	-38.11	palmyra092007FS192-070924-205305.wav	15.9149	15.9149	Whistle
13	Spectrogram 1	1	17.996284442	19.665399649	6454.545	23863.636	1.6691	17409.091	-36.64	palmyra092007FS192-070924-205305.wav	17.9963	17.9963	Whistle
14	Spectrogram 1	1	19.938893226	21.632140219	6363.636	23909.091	1.6932	17545.455	-39.15	palmyra092007FS192-070924-205305.wav	19.9389	19.9389	Whistle
15	Spectrogram 1	1	22.098690820	23.623015311	7045.455	23954.545	1.5243	16909.090	-40.95	palmyra092007FS192-070924-205305.wav	22.0987	22.0987	Whistle
