interval,n_wavs,n_segments,n_cetacean_segs,n_uncertain_segs,model_positive,model_sp_any,model_sp_majority,model_pos_argmax,model_pos_vec,model_pos_pr,exp_positive,exp_top_species,n_wavs_annotated,source,sum_exp_Ambig,sum_exp_Bb,sum_exp_Dc,sum_exp_Dd,sum_exp_Gg,sum_exp_Gm,sum_exp_Lo,sum_exp_Oo,sum_exp_Pm,sum_exp_Sc,sum_exp_Tt,sum_exp_Zc,exp_annotated,outcome
240528160000,1,12,7,5,True,Ambig,Ambig,True,True,True,False,background,1.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528160500,5,60,25,25,True,Ambig,Ambig,True,True,True,True,Gg,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,1.3786666666666667,0.748,3.5466666666666606,0.0,0.2479999999999999,0.1973333333333333,0.0,0.2066666666666665,0.6746666666666666,0.0,True,TP
240528161000,5,60,23,21,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528161500,5,60,20,32,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528162000,5,60,28,26,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528162500,5,60,26,21,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528163000,5,60,16,22,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528163500,5,60,16,21,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528164000,5,60,12,25,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528164500,5,60,20,22,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528165000,5,60,17,23,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528165500,5,60,22,16,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528170000,5,60,6,32,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528170500,5,60,29,16,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528171000,5,60,32,20,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528171500,5,60,18,35,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528172000,5,60,22,32,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528172500,4,48,21,22,True,Ambig,Ambig,True,True,True,False,background,4.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528173000,5,60,8,39,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528173500,5,60,20,31,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528174000,5,60,25,26,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528174500,5,60,20,30,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528175000,5,60,29,27,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528175500,5,60,22,28,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528180000,5,60,34,21,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528180500,5,60,34,15,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528181000,5,60,1,3,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528181500,5,60,0,0,False,,,False,False,False,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,TN
240528182000,5,60,5,17,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528182500,5,60,24,26,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
