interval,n_wavs,n_segments,n_cetacean_segs,n_uncertain_segs,model_positive,model_sp_any,model_sp_majority,model_pos_argmax,model_pos_vec,model_pos_pr,exp_positive,date,format,hydrophone,n_hydrophone_detections,source_file,exp_annotated,outcome
251010055958,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
251010060458,1,47,1,2,True,Gg,Gg,True,True,True,False,,,,,,False,FP
251010060958,1,47,0,6,False,,,True,True,False,False,,,,,,False,TN
251010061958,1,47,0,15,False,,,True,True,False,False,,,,,,False,TN
251010062458,1,47,0,11,False,,,True,True,False,False,,,,,,False,TN
251010062958,1,47,1,17,True,Gg,Gg,True,True,True,False,,,,,,False,FP
251010063458,1,47,0,6,False,,,True,True,False,False,,,,,,False,TN
251010063958,1,47,0,13,False,,,True,True,False,False,,,,,,False,TN
251010064458,1,47,0,6,False,,,True,True,False,False,,,,,,False,TN
251010064958,1,47,0,7,False,,,True,True,False,False,,,,,,False,TN
251010065958,1,47,0,5,False,,,True,True,False,False,,,,,,False,TN
251010070458,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
251010070958,1,47,0,3,False,,,True,True,False,False,,,,,,False,TN
251010071458,1,47,0,9,False,,,True,True,False,False,,,,,,False,TN
251010071958,1,47,0,1,False,,,True,True,False,False,,,,,,False,TN
251010072458,1,47,0,10,False,,,True,True,False,False,,,,,,False,TN
251010072958,1,47,0,9,False,,,True,True,False,False,,,,,,False,TN
251010073458,1,47,0,9,False,,,True,True,False,False,,,,,,False,TN
251010073958,1,47,0,8,False,,,True,True,False,False,,,,,,False,TN
251010074458,1,47,0,9,False,,,False,True,False,False,,,,,,False,TN
251010074958,1,47,0,9,False,,,True,True,False,False,,,,,,False,TN
251010075458,1,47,0,8,False,,,True,True,False,False,,,,,,False,TN
251010075958,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
251010080458,1,47,0,3,False,,,False,True,False,False,,,,,,False,TN
251010080958,1,47,0,5,False,,,True,True,False,False,,,,,,False,TN
251010081458,1,47,0,7,False,,,True,True,False,False,,,,,,False,TN
251010081958,1,47,0,3,False,,,False,True,False,False,,,,,,False,TN
251010082458,1,47,0,2,False,,,False,True,False,False,,,,,,False,TN
251010082958,1,47,0,8,False,,,True,True,False,False,,,,,,False,TN
251010083458,1,47,0,9,False,,,False,True,False,False,,,,,,False,TN
251010083958,1,47,0,11,False,,,False,True,False,False,,,,,,False,TN
251010084458,1,47,1,3,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251010084958,1,47,0,5,False,,,False,True,False,False,,,,,,False,TN
251010085458,1,47,0,2,False,,,False,True,False,False,,,,,,False,TN
251010085958,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
251010090458,1,47,0,5,False,,,True,True,False,False,,,,,,False,TN
251010090958,1,47,0,11,False,,,False,True,False,False,,,,,,False,TN
251010091458,1,47,0,3,False,,,False,True,False,False,,,,,,False,TN
251010091958,1,47,0,10,False,,,True,True,False,False,,,,,,False,TN
251010092458,1,47,0,8,False,,,True,True,False,False,,,,,,False,TN
251010092958,1,47,0,7,False,,,False,True,False,False,,,,,,False,TN
251010093458,1,47,0,7,False,,,False,True,False,False,,,,,,False,TN
251010093958,1,47,0,2,False,,,False,True,False,False,,,,,,False,TN
