class,n,silhouette
gloMel_clicks+gloMel_whistles,20,0.6933222413063049
delphi_clicks,304,0.6870636940002441
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.6158459782600403
graGri_clicks,45,0.5922718644142151
steCoe_clicks,15,-0.041092805564403534
gloMel_clicks,89,-0.23450367152690887
gloMel_whistles,32,-0.356292724609375
gloMel_clicks+turTru_clicks,106,-0.3658132255077362
delphi_whistles,3,-0.5600739121437073
phyMac_clicks,179,-0.5617296099662781
turTru_clicks,58,-0.5916613936424255
background,4348,-0.7145583629608154
