class,n,silhouette
gloMel_clicks+gloMel_whistles,20,0.6989260911941528
graGri_clicks,45,0.6898653507232666
delphi_clicks,304,0.6836292147636414
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.6238987445831299
steCoe_clicks,15,-0.13618598878383636
gloMel_clicks,89,-0.1968161165714264
gloMel_whistles,32,-0.3264371156692505
gloMel_clicks+turTru_clicks,106,-0.39457786083221436
phyMac_clicks,179,-0.5371048450469971
delphi_whistles,3,-0.5652676224708557
turTru_clicks,58,-0.604642927646637
background,4348,-0.7015065550804138
