class,n,silhouette
delphi_clicks,304,0.7123838663101196
graGri_clicks,45,0.6894375085830688
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.49553951621055603
gloMel_clicks+gloMel_whistles,20,0.39270108938217163
steCoe_clicks,15,0.029780622571706772
gloMel_whistles,32,-0.12390567362308502
gloMel_clicks,89,-0.2508128583431244
gloMel_clicks+turTru_clicks,106,-0.37276822328567505
turTru_clicks,58,-0.5183272957801819
phyMac_clicks,179,-0.6140176057815552
delphi_whistles,3,-0.6399856805801392
background,4348,-0.7351598739624023
