class,n,silhouette
graGri_clicks,45,0.7818958759307861
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.6683041453361511
gloMel_clicks+gloMel_whistles,20,0.5879039168357849
delphi_clicks,304,0.5515644550323486
gloMel_clicks,89,-0.21703100204467773
gloMel_whistles,32,-0.3436049222946167
steCoe_clicks,15,-0.3682335913181305
delphi_whistles,3,-0.527987003326416
phyMac_clicks,179,-0.555732011795044
turTru_clicks,58,-0.5693362951278687
gloMel_clicks+turTru_clicks,106,-0.5786514282226562
background,4348,-0.6477173566818237
