class,n,silhouette
gloMel_clicks+gloMel_whistles,20,0.6451305150985718
graGri_clicks,45,0.5266919732093811
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.3804263770580292
delphi_clicks,304,0.29055073857307434
delphi_whistles,3,-0.0007198502426035702
steCoe_clicks,15,-0.04994179308414459
gloMel_clicks,89,-0.19097475707530975
gloMel_clicks+turTru_clicks,106,-0.24847593903541565
gloMel_whistles,32,-0.3488602340221405
phyMac_clicks,179,-0.4493062496185303
turTru_clicks,58,-0.4865649938583374
background,4348,-0.5108633637428284
