class,n,silhouette
gloMel_clicks+gloMel_whistles,20,0.6156691312789917
graGri_clicks,45,0.6022287011146545
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.3824802339076996
delphi_clicks,304,0.28608426451683044
steCoe_clicks,15,-0.012108266353607178
delphi_whistles,3,-0.07342507690191269
gloMel_clicks,89,-0.1896982043981552
gloMel_clicks+turTru_clicks,106,-0.2909258306026459
gloMel_whistles,32,-0.32494068145751953
phyMac_clicks,179,-0.4729691743850708
turTru_clicks,58,-0.4816298186779022
background,4348,-0.5204979181289673
