class,n,silhouette
graGri_clicks,45,0.6380438804626465
gloMel_clicks+gloMel_whistles,20,0.439310222864151
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.396464079618454
steCoe_clicks,15,0.2822519838809967
delphi_clicks,304,0.1795608550310135
delphi_whistles,3,0.011574909090995789
gloMel_clicks,89,-0.13340924680233002
phyMac_clicks,179,-0.25554361939430237
gloMel_clicks+turTru_clicks,106,-0.26291897892951965
gloMel_whistles,32,-0.2976993918418884
turTru_clicks,58,-0.4241924583911896
background,4348,-0.5111581683158875
