class,n,silhouette
graGri_clicks,45,0.779716432094574
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.4705294072628021
gloMel_clicks,89,0.09656025469303131
delphi_clicks,304,0.037130821496248245
delphi_whistles,3,-0.11544995754957199
gloMel_clicks+gloMel_whistles,20,-0.12253651767969131
phyMac_clicks,179,-0.1416894495487213
gloMel_clicks+turTru_clicks,106,-0.2374848574399948
steCoe_clicks,15,-0.29060184955596924
gloMel_whistles,32,-0.315349817276001
background,4348,-0.4309164881706238
turTru_clicks,58,-0.4702602028846741
