wav_path,wav_name,offset_s,label,deployment_folder,deployment_id,species_folder,n_species,species_set,signal_set,embedding_idx,deployment_key,deploymentID,deploymentPlatform,bottomDepth (m),label_refined
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,0.0,background,deployment-F_D08,F_D08,Delphinidae,0,,,0,F_D08,F_D08,trammel net gear,105,background_fishing_gear
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,5.0,background,deployment-F_D08,F_D08,Delphinidae,0,,,1,F_D08,F_D08,trammel net gear,105,background_fishing_gear
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,10.0,background,deployment-F_D08,F_D08,Delphinidae,0,,,2,F_D08,F_D08,trammel net gear,105,background_fishing_gear
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,15.0,background,deployment-F_D08,F_D08,Delphinidae,0,,,3,F_D08,F_D08,trammel net gear,105,background_fishing_gear
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,20.0,background,deployment-F_D08,F_D08,Delphinidae,0,,,4,F_D08,F_D08,trammel net gear,105,background_fishing_gear
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,25.0,delphi_clicks,deployment-F_D08,F_D08,Delphinidae,1,delphi,clicks,5,F_D08,F_D08,trammel net gear,105,delphi_clicks
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,30.0,delphi_clicks,deployment-F_D08,F_D08,Delphinidae,1,delphi,clicks,6,F_D08,F_D08,trammel net gear,105,delphi_clicks
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,35.0,delphi_clicks,deployment-F_D08,F_D08,Delphinidae,1,delphi,clicks,7,F_D08,F_D08,trammel net gear,105,delphi_clicks
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,40.0,delphi_clicks,deployment-F_D08,F_D08,Delphinidae,1,delphi,clicks,8,F_D08,F_D08,trammel net gear,105,delphi_clicks
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,45.0,background,deployment-F_D08,F_D08,Delphinidae,0,,,9,F_D08,F_D08,trammel net gear,105,background_fishing_gear
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,50.0,background,deployment-F_D08,F_D08,Delphinidae,0,,,10,F_D08,F_D08,trammel net gear,105,background_fishing_gear
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D08/F_D08_20240828_023600.WAV,F_D08_20240828_023600.WAV,55.0,background,deployment-F_D08,F_D08,Delphinidae,0,,,11,F_D08,F_D08,trammel net gear,105,background_fishing_gear
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D04/F_D04_20230714_030700.WAV,F_D04_20230714_030700.WAV,0.0,background,deployment-F_D04,F_D04,Delphinidae,0,,,12,F_D04,F_D04,longline gear,65,background_fishing_gear
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D04/F_D04_20230714_030700.WAV,F_D04_20230714_030700.WAV,5.0,background,deployment-F_D04,F_D04,Delphinidae,0,,,13,F_D04,F_D04,longline gear,65,background_fishing_gear
/data2/mromaniuc/cet-det/datasets/ALNITAK_CAVANILLES/Delphinidae/3-complete-WAV/deployment-F_D04/F_D04_20230714_030700.WAV,F_D04_20230714_030700.WAV,10.0,background,deployment-F_D04,F_D04,Delphinidae,0,,,14,F_D04,F_D04,longline gear,65,background_fishing_gear
