experiment,classifier,macro_f1,roc_auc,train_acc,test_acc,gap,time_s,KW_precision,KW_recall,KW_f1,KW_support,background_precision,background_recall,background_f1,background_support
A — KW vs all bg,Logistic Regression,0.8123,0.9545,0.9068,0.9,0.0068,16.2,0.5568,0.887,0.6841,6415,0.9829,0.9018,0.9406,46136
A — KW vs all bg,Decision Tree,0.7709,0.8938,0.8838,0.8718,0.012,226.6,0.4857,0.8525,0.6189,6415,0.9771,0.8745,0.923,46136
A — KW vs all bg,Random Forest,0.8249,0.95,0.9632,0.9216,0.0416,24.2,0.6622,0.7306,0.6947,6415,0.962,0.9482,0.955,46136
A — KW vs all bg,SGD (linear SVM),0.7876,0.9428,0.8876,0.8818,0.0057,49.0,0.5093,0.8837,0.6462,6415,0.982,0.8816,0.9291,46136
A — KW vs all bg,PyTorch MLP (128) drop=0.4,0.818,0.9617,0.9502,0.9021,0.0481,71.1,0.5611,0.9102,0.6943,6415,0.9863,0.901,0.9417,46136
A — KW vs all bg,PyTorch MLP (64) drop=0.4,0.8147,0.9605,0.9402,0.8998,0.0404,78.4,0.5544,0.9105,0.6892,6415,0.9863,0.8983,0.9402,46136
B — KW vs AB only,Logistic Regression,0.8513,0.9695,0.9986,0.9592,0.0395,2.0,0.9815,0.9744,0.9779,6415,0.6935,0.7587,0.7246,489
B — KW vs AB only,Decision Tree,0.7927,0.845,0.9474,0.9311,0.0163,27.3,0.9845,0.9406,0.9621,6415,0.5084,0.8057,0.6234,489
B — KW vs AB only,Random Forest,0.8341,0.9768,0.9941,0.9631,0.031,2.2,0.9684,0.9927,0.9804,6415,0.8567,0.5746,0.6879,489
B — KW vs AB only,SGD (linear SVM),0.8465,0.9739,0.9736,0.955,0.0186,1.6,0.9851,0.9662,0.9755,6415,0.6454,0.8078,0.7175,489
B — KW vs AB only,PyTorch MLP (128) drop=0.4,0.8673,0.9858,0.9963,0.959,0.0373,9.9,0.9923,0.9634,0.9776,6415,0.6524,0.9018,0.7571,489
B — KW vs AB only,PyTorch MLP (64) drop=0.4,0.8842,0.9859,0.9907,0.966,0.0248,12.6,0.9913,0.9719,0.9815,6415,0.7068,0.8875,0.7869,489
C — KW vs unannotated bg,Logistic Regression,0.8129,0.9544,0.9068,0.8998,0.007,12.4,0.5591,0.8853,0.6853,6415,0.9824,0.9019,0.9404,45647
C — KW vs unannotated bg,Decision Tree,0.7714,0.8967,0.8856,0.8728,0.0128,242.9,0.4906,0.8393,0.6192,6415,0.9749,0.8775,0.9237,45647
C — KW vs unannotated bg,Random Forest,0.8248,0.9504,0.9634,0.9212,0.0422,20.9,0.6644,0.7283,0.6949,6415,0.9613,0.9483,0.9548,45647
C — KW vs unannotated bg,SGD (linear SVM),0.7396,0.9304,0.8613,0.8394,0.0219,45.9,0.4275,0.8934,0.5783,6415,0.9823,0.8319,0.9008,45647
C — KW vs unannotated bg,PyTorch MLP (128) drop=0.4,0.8235,0.9612,0.9478,0.9057,0.0421,64.1,0.5743,0.9063,0.7031,6415,0.9857,0.9056,0.9439,45647
C — KW vs unannotated bg,PyTorch MLP (64) drop=0.4,0.8156,0.9607,0.9385,0.8998,0.0387,71.9,0.5573,0.9094,0.6911,6415,0.986,0.8985,0.9402,45647
