wav_path,offset_s,label,subdataset,split,n_whistle,n_bout,n_noise,embedding_idx
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,0.0,bout+whistle,IMMS,test,3,1,1,0
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,5.0,bout+whistle,IMMS,test,2,1,0,1
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,10.0,whistle,IMMS,test,1,0,0,2
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,15.0,whistle,IMMS,test,4,0,0,3
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,20.0,whistle,IMMS,test,2,0,0,4
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,25.0,whistle,IMMS,test,2,0,1,5
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,30.0,bout+whistle,IMMS,test,2,1,0,6
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,35.0,whistle,IMMS,test,2,0,0,7
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,40.0,bout+whistle,IMMS,test,4,1,0,8
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,45.0,bout+whistle,IMMS,test,3,2,0,9
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,50.0,bout+whistle,IMMS,test,4,2,0,10
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,55.0,whistle,IMMS,test,5,0,0,11
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,60.0,bout+whistle,IMMS,test,7,1,0,12
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,65.0,bout+whistle,IMMS,test,6,2,0,13
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,70.0,whistle,IMMS,test,5,0,0,14
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,75.0,whistle,IMMS,test,2,0,0,15
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,80.0,whistle,IMMS,test,3,0,0,16
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,85.0,whistle,IMMS,test,3,0,0,17
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,90.0,whistle,IMMS,test,3,0,0,18
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,95.0,whistle,IMMS,test,5,0,0,19
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,100.0,whistle,IMMS,test,2,0,0,20
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,105.0,background,IMMS,test,0,0,0,21
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,110.0,background,IMMS,test,0,0,0,22
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,115.0,background,IMMS,test,0,0,0,23
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,120.0,background,IMMS,test,0,0,0,24
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,125.0,background,IMMS,test,0,0,0,25
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,130.0,background,IMMS,test,0,0,0,26
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,135.0,background,IMMS,test,0,0,0,27
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,140.0,whistle,IMMS,test,3,0,0,28
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,145.0,background,IMMS,test,0,0,0,29
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,150.0,whistle,IMMS,test,1,0,0,30
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,155.0,whistle,IMMS,test,2,0,0,31
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,160.0,bout+whistle,IMMS,test,1,1,0,32
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,165.0,background,IMMS,test,0,0,0,33
/data2/mromaniuc/cet-det/datasets/DRYAD/Audio/IMMS/IMMS_Combined_Test.wav,170.0,background,IMMS,test,0,0,0,34
