species,label,source_file,window_idx,window_kind,original_duration_s,native_sr,sig_start_sample,sig_len_sample,embedding_idx
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64103001.wav,0,extended,0.94453125,22050,62772,30225,0
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64103002.wav,0,extended,0.94453125,22050,75128,30225,1
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64103003.wav,0,extended,0.94453125,22050,77394,30225,2
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64103004.wav,0,extended,1.418,22050,67920,45376,3
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64103005.wav,0,extended,1.418,22050,82037,45376,4
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64103006.wav,0,extended,1.418,22050,61086,45376,5
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64103007.wav,0,extended,1.418,22050,1278,45376,6
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64103008.wav,0,extended,0.97034375,22050,104077,31051,7
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64103009.wav,0,extended,1.41328125,22050,78377,45225,8
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,6410300A.wav,0,extended,1.37346875,22050,103324,43951,9
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,6410300B.wav,0,extended,1.25859375,22050,87706,40275,10
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64104001.wav,0,extended,0.94453125,22050,110990,30225,11
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64104002.wav,0,extended,0.708625,22050,85122,22676,12
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64104003.wav,0,extended,0.708625,22050,59238,22676,13
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64104004.wav,0,extended,1.41096875,22050,66294,45151,14
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64104005.wav,0,extended,1.33596875,22050,33356,42751,15
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,64104006.wav,0,extended,1.41096875,22050,33820,45151,16
Balaenoptera_physalus,Balaenoptera_physalus,60009005.wav,0,real,44.2016875,22050,0,160000,17
Balaenoptera_physalus,Balaenoptera_physalus,60009005.wav,1,real,44.2016875,22050,0,160000,18
Balaenoptera_physalus,Balaenoptera_physalus,60009005.wav,2,real,44.2016875,22050,0,160000,19
Balaenoptera_physalus,Balaenoptera_physalus,60009005.wav,3,real,44.2016875,22050,0,160000,20
Balaenoptera_physalus,Balaenoptera_physalus,60009005.wav,4,real,44.2016875,22050,0,160000,21
