held_out,n_test,val_macro_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_accuracy,test_balanced_acc,sp_n_rows,sp_n_classes,sp_macro_f1,sp_frac_routed_to_bg
OLTREMARE,292,0.8466340546991239,1.0,0.1,1.0,1.0,292,1,1.0,0.0
Adriatic_Sea,458,0.9522280925691156,0.998861047835991,0.19977220956719818,0.9978165938864629,0.9977272727272728,220,1,0.9977220956719818,0.0
DOLPHINFREE,1150,0.8363713537032298,0.9982578397212544,0.09982578397212544,0.9965217391304347,0.9965217391304347,1150,1,0.9982578397212544,0.0
MONISH,617,0.8381320760870514,0.9935078966834603,0.49675394834173014,0.9967585089141004,0.9876980428704567,617,5,0.9935078966834603,0.0
ECOSS_annot,752,0.8878944833915309,0.9887278768276915,0.1977455753655383,0.9773936170212766,0.9777079144031934,466,1,0.988056460369164,0.0
DRYAD,219,0.8135912299479633,0.9861111111111112,0.09861111111111112,0.9726027397260274,0.9726027397260274,219,1,0.9861111111111112,0.0
DCLDE_2026,1787,0.9292170693913621,0.9781619534413876,0.1956323906882775,0.9776161163961947,0.9776067894275335,887,1,0.9880205362236166,0.02254791431792559
ECOSS_enhanced,168,0.8686814870429915,0.9419642857142857,0.5651785714285714,0.8809523809523809,0.9206349206349206,143,5,0.9303571428571429,0.0
ECOSS_testtrain,1867,0.9260032743341208,0.913371773806125,0.548023064283675,0.9839314408141403,0.8994252873563219,127,5,0.9142857142857143,0.0
ALNITAK_CAVANILLES,2599,0.9659476614181264,0.8464183724857541,0.5924928607400279,0.9257406694882647,0.8280422850150684,745,6,0.8529926061461212,0.1610738255033557
