held_out,n_test,val_macro_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_accuracy,test_balanced_acc,sp_n_rows,sp_n_classes,sp_macro_f1,sp_frac_routed_to_bg
Adriatic_Sea,458,0.9572872502639338,1.0,0.2,1.0,1.0,220,1,1.0,0.0
DOLPHINFREE,1150,0.806189660913218,1.0,0.1,1.0,1.0,1150,1,1.0,0.0
OLTREMARE,292,0.822331504116679,1.0,0.1,1.0,1.0,292,1,1.0,0.0
ECOSS_annot,752,0.8642823828972744,0.9937820016105261,0.19875640032210523,0.988031914893617,0.9876421861400402,466,1,0.9946062567421791,0.0
DCLDE_2026,1787,0.9173950803153383,0.9831594851491516,0.19663189702983033,0.9798545047565753,0.9798371539521483,887,1,0.9885974914481186,0.016910935738444193
MONISH,617,0.8479853621507887,0.9809001566728387,0.49045007833641935,0.9902755267423015,0.9675675675675676,617,5,0.9809001566728387,0.0
DRYAD,219,0.8074936200698917,0.9596199524940617,0.09596199524940617,0.9223744292237442,0.9223744292237442,219,1,0.9596199524940617,0.0
ECOSS_testtrain,1867,0.9297870006749175,0.940677966101695,0.5644067796610169,0.9887520085698982,0.9125,127,5,0.9288135593220339,0.0
ECOSS_enhanced,168,0.8692390499212264,0.9103683897801544,0.5462210338680926,0.8333333333333334,0.8888888888888888,143,5,0.8963636363636363,0.006993006993006993
ALNITAK_CAVANILLES,2599,0.967355544946886,0.8180244487463536,0.5726171141224475,0.9122739515198153,0.8376318354217843,745,6,0.8450939688425612,0.1342281879194631
