held_out,n_test,val_macro_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_accuracy,test_balanced_acc,sp_n_rows,sp_n_classes,sp_macro_f1,sp_frac_routed_to_bg
OLTREMARE,292,0.8545729251891612,1.0,0.1,1.0,1.0,292,1,1.0,0.0
DOLPHINFREE,1150,0.7989597312102132,1.0,0.1,1.0,1.0,1150,1,1.0,0.0
DRYAD,219,0.8153851360312924,0.9977116704805492,0.09977116704805492,0.9954337899543378,0.9954337899543378,219,1,0.9977116704805492,0.0
MONISH,617,0.8339625246435446,0.9883496104998397,0.4941748052499199,0.9951377633711507,0.992336878212121,617,5,0.9883496104998397,0.0
ECOSS_enhanced,168,0.8419309210900783,0.9275058718974164,0.5565035231384499,0.8511904761904762,0.9007936507936508,143,5,0.9130070462768997,0.0
ECOSS_testtrain,1867,0.8257292155984522,0.8909164531889807,0.5345498719133884,0.9812533476164971,0.8785919540229886,127,5,0.8862745098039216,0.0
Adriatic_Sea,458,0.8562191642017944,0.8719267234452837,0.17438534468905673,0.7903930131004366,0.7981474407944996,220,1,0.9977220956719818,0.0
DCLDE_2026,1787,0.7800770963928858,0.8672648609691676,0.17345297219383352,0.7963066592053721,0.7969961167480897,887,1,0.9427890345649583,0.05636978579481398
ECOSS_annot,752,0.8861262056293466,0.7507077148458539,0.15014154296917076,0.6781914893617021,0.7376421861400402,466,1,0.6570605187319885,0.20815450643776823
ALNITAK_CAVANILLES,2599,0.8081412522188243,0.12096595616812175,0.08467616931768522,0.5275105809926895,0.1308247184875858,745,6,0.034575334632657766,0.661744966442953
