held_out,n_test,avg_binary_val_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_accuracy,test_balanced_acc,sp_n_rows,sp_n_classes,sp_macro_f1,sp_frac_routed_to_bg
DRYAD,219,0.8270965417194218,1.0,0.1,1.0,1.0,219,1,1.0,0.0
OLTREMARE,292,0.8283558887233294,1.0,0.1,1.0,1.0,292,1,1.0,0.0
DOLPHINFREE,1150,0.8200540099116025,0.996947230702137,0.0996947230702137,0.9939130434782608,0.9939130434782608,1150,1,0.996947230702137,0.00608695652173913
MONISH,617,0.8550764385424133,0.9722449862408302,0.4861224931204151,0.9902755267423015,0.9797561558968855,617,5,0.9722449862408302,0.0
Adriatic_Sea,458,0.8760603167971198,0.9161108345777336,0.1832221669155467,0.8537117903930131,0.8590718105423988,220,1,0.9977220956719818,0.0
ECOSS_enhanced,168,0.8466629629701186,0.9072327044025158,0.5443396226415095,0.8333333333333334,0.8888888888888888,143,5,0.9,0.02097902097902098
ECOSS_testtrain,1867,0.8566134147436212,0.9009656425802753,0.5405793855481652,0.982860203535083,0.8870210727969349,127,5,0.8981132075471698,0.0
DCLDE_2026,1787,0.7921492759826847,0.8668221036115191,0.17336442072230382,0.7940682708449917,0.7944563447325568,887,1,0.9176327028676022,0.06764374295377677
ECOSS_annot,752,0.8881482240328561,0.7421288463010042,0.14842576926020085,0.675531914893617,0.7348209730183979,466,1,0.6551226551226551,0.2296137339055794
ALNITAK_CAVANILLES,2599,0.7939748207072549,0.06278210681367176,0.04394747476957023,0.1504424778761062,0.056033343999948367,745,6,0.03672107938993489,0.22684563758389262
